account_name,vertical,universe,primary_persona,primary_titles,primary_cap,coo_persona,coo_titles,coo_cap,account_total_cap,seniority,dedup_key
Aetna,Healthcare Payer,install_base,bo_claims,"""VP Claims"" OR ""Director Claims"" OR ""Claims Operations"" OR ""VP Appeals"" OR ""Director Grievances"" OR ""Utilization Management""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",2,4,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Humana,Healthcare Payer,install_base,bo_claims,"""VP Claims"" OR ""Director Claims"" OR ""Claims Operations"" OR ""VP Appeals"" OR ""Director Grievances"" OR ""Utilization Management""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Elevance Health,Healthcare Payer,install_base,bo_claims,"""VP Claims"" OR ""Director Claims"" OR ""Claims Operations"" OR ""VP Appeals"" OR ""Director Grievances"" OR ""Utilization Management""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
CIGNA,Healthcare Payer,install_base,bo_claims,"""VP Claims"" OR ""Director Claims"" OR ""Claims Operations"" OR ""VP Appeals"" OR ""Director Grievances"" OR ""Utilization Management""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
UnitedHealthcare,Healthcare Payer,install_base,bo_claims,"""VP Claims"" OR ""Director Claims"" OR ""Claims Operations"" OR ""VP Appeals"" OR ""Director Grievances"" OR ""Utilization Management""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Molina Healthcare,Healthcare Payer,install_base,bo_claims,"""VP Claims"" OR ""Director Claims"" OR ""Claims Operations"" OR ""VP Appeals"" OR ""Director Grievances"" OR ""Utilization Management""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
JPMorgan Chase,Financial Services,install_base,bo_shared,"""VP Payment Operations"" OR ""Director Payment Ops"" OR ""Disputes"" OR ""Collections"" OR ""Document Processing"" OR ""Shared Services"" OR ""Enrollment Operations"" OR ""Revenue Cycle"" OR ""VP Back Office""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",2,4,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Wells Fargo,Financial Services,install_base,bo_shared,"""VP Payment Operations"" OR ""Director Payment Ops"" OR ""Disputes"" OR ""Collections"" OR ""Document Processing"" OR ""Shared Services"" OR ""Enrollment Operations"" OR ""Revenue Cycle"" OR ""VP Back Office""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Goldman Sachs,Financial Services,install_base,bo_shared,"""VP Payment Operations"" OR ""Director Payment Ops"" OR ""Disputes"" OR ""Collections"" OR ""Document Processing"" OR ""Shared Services"" OR ""Enrollment Operations"" OR ""Revenue Cycle"" OR ""VP Back Office""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Synchrony Financial,Financial Services,install_base,bo_shared,"""VP Payment Operations"" OR ""Director Payment Ops"" OR ""Disputes"" OR ""Collections"" OR ""Document Processing"" OR ""Shared Services"" OR ""Enrollment Operations"" OR ""Revenue Cycle"" OR ""VP Back Office""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
US Bancorp,Financial Services,install_base,bo_shared,"""VP Payment Operations"" OR ""Director Payment Ops"" OR ""Disputes"" OR ""Collections"" OR ""Document Processing"" OR ""Shared Services"" OR ""Enrollment Operations"" OR ""Revenue Cycle"" OR ""VP Back Office""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
MetLife,Insurance,install_base,bo_claims,"""VP Claims"" OR ""Director Claims"" OR ""Claims Operations"" OR ""VP Appeals"" OR ""Director Grievances"" OR ""Utilization Management""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Prudential Financial,Insurance,install_base,bo_shared,"""VP Payment Operations"" OR ""Director Payment Ops"" OR ""Disputes"" OR ""Collections"" OR ""Document Processing"" OR ""Shared Services"" OR ""Enrollment Operations"" OR ""Revenue Cycle"" OR ""VP Back Office""",2,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,3,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Capita,BPO / Outsourcer,install_base,bo_shared,"""VP Payment Operations"" OR ""Director Payment Ops"" OR ""Disputes"" OR ""Collections"" OR ""Document Processing"" OR ""Shared Services"" OR ""Enrollment Operations"" OR ""Revenue Cycle"" OR ""VP Back Office""",3,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,4,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
Foundever (Sitel),BPO / Outsourcer,install_base,bo_shared,"""VP Payment Operations"" OR ""Director Payment Ops"" OR ""Disputes"" OR ""Collections"" OR ""Document Processing"" OR ""Shared Services"" OR ""Enrollment Operations"" OR ""Revenue Cycle"" OR ""VP Back Office""",3,coo_finance,"""Chief Operating Officer"" OR ""SVP Operations"" OR ""VP Operations""",1,4,Director+ (COO tier VP+),account_name + linkedin_url vs Contacts (Buying Committee)
