account_name,vertical,industry_raw,bo_priority,primary_function,product_angle,personas,contact_cap,universe,install_base,fo_risk_flag,owner_cleared,total_licenses,active_customer_date,source,sourced_date
Capita,BPO / Outsourcer,Technology,1,Multi-function BPO (claims/payment/doc),Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,12/22/2023,SF Active Customers Jul10,2026-07-13
Foundever (Sitel),BPO / Outsourcer,Outsourcer,1,Multi-function BPO (claims/payment/doc),Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,326,12/24/2010,SF Active Customers Jul10,2026-07-13
Ameriprise Financial,Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,800,6/30/2017,SF Active Customers Jul10,2026-07-13
Canadian Imperial Bank Of Commerce (CIBC),Financial Services,Banking,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,4000,3/29/2023,SF Active Customers Jul10,2026-07-13
Capital Group,Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,9/11/2025,SF Active Customers Jul10,2026-07-13
Citicorp Credit Services,Financial Services,Banking,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,12/31/2012,SF Active Customers Jul10,2026-07-13
Edward Jones,Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,8/13/2025,SF Active Customers Jul10,2026-07-13
Goldman Sachs,Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,12/15/2023,SF Active Customers Jul10,2026-07-13
Guardian Life,Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,410,12/28/2023,SF Active Customers Jul10,2026-07-13
Illumifin,Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
JPMorgan Chase,Financial Services,Banking,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,33000,6/29/2018,SF Active Customers Jul10,2026-07-13
MetLife,Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,1200,6/30/2017,SF Active Customers Jul10,2026-07-13
PNC Financial,Financial Services,Banking,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,11/22/2019,SF Active Customers Jul10,2026-07-13
Progressive Leasing,Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,3/24/2025,SF Active Customers Jul10,2026-07-13
Prudential Financial,Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,750,11/21/2018,SF Active Customers Jul10,2026-07-13
Royal Bank of Canada (RBC),Financial Services,Banking,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,5775,3/31/2023,SF Active Customers Jul10,2026-07-13
Sanlam RSA,Financial Services,Banking,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,250,12/21/2023,SF Active Customers Jul10,2026-07-13
Snap Finance LLC,Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,377,11/25/2020,SF Active Customers Jul10,2026-07-13
Social Finance (SoFi),Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,1052,12/24/2019,SF Active Customers Jul10,2026-07-13
Synchrony Financial,Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,6291,4/30/2021,SF Active Customers Jul10,2026-07-13
TD Bank Group,Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,6/30/2025,SF Active Customers Jul10,2026-07-13
TIAA-CREF,Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
The Northwestern Mutual Life Insurance Company,Financial Services,Fin Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,1071,1/28/2021,SF Active Customers Jul10,2026-07-13
US Bancorp,Financial Services,Banking,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,250,12/18/2023,SF Active Customers Jul10,2026-07-13
Wells Fargo,Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,3/26/2024,SF Active Customers Jul10,2026-07-13
Wells Fargo (Alvaria),Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,,11/12/2024,SF Active Customers Jul10,2026-07-13
Wells Fargo (Five9),Financial Services,Div Financial Services,1,Payment ops / Disputes / Collections,Back Office Optimizer,bo_shared;coo_finance,4,install_base,TRUE,FALSE,FALSE,2500,3/26/2024,SF Active Customers Jul10,2026-07-13
Aetna,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,7100,8/1/2013,SF Active Customers Jul10,2026-07-13
Aetna Dental,Healthcare Payer,Healthcare Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,8/1/2013,SF Active Customers Jul10,2026-07-13
Aetna Medicaid,Healthcare Payer,Health Insurance,1,Claims / Appeals / Grievances / UM,Back Office Optimizer,bo_claims;coo_finance,4,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
