parent_org,contracts,new_fallers,members_sub4,gross_forgone_qbp_musd,addressable_forgone_qbp_musd
Humana Inc.,25,5,4293125,2443.7,886.8
"UnitedHealth Group, Inc.",26,7,1854533,924.1,257.2
CVS Health Corporation,23,8,737400,507.2,222.6
Centene Corporation,42,1,685682,520.7,198.2
"Elevance Health, Inc.",27,0,772366,522.7,132.0
Health Care Service Corporation,19,4,428995,318.2,105.0
"Molina Healthcare, Inc.",12,0,185041,160.0,59.5
"Clover Health Holdings, Inc.",1,1,153117,74.6,49.1
"Devoted Health, Inc.",12,2,97249,51.5,37.3
"Cambia Health Solutions, Inc.",5,1,71895,68.4,36.1
Medica Holding Company,4,1,139403,75.4,28.1
Visiting Nurse Service of New York,1,0,67361,32.8,26.1
Imperial Health Plan of California,1,0,52035,25.4,25.4
"Zing Health Consolidator, Inc",2,0,42220,43.4,24.9
"Clever Care Health Plan, Inc.",1,0,50156,24.5,21.2
Presbyterian Healthcare Services,1,0,53755,55.2,19.1
"Lifetime Healthcare, Inc.",1,1,86142,42.0,15.1
INLAND EMPIRE HEALTH PLAN,1,0,38439,39.5,14.8
Local Initiative Health Authority for LA County,1,0,30796,31.6,13.4
California Physicians' Service,3,0,68463,33.3,11.5
ATRIO Health Plans,4,0,34002,34.9,10.4
"Baystate Health, Inc.",2,0,14760,15.2,10.3
Orange County Health Authority,1,0,18849,19.4,9.6
"Intermountain Health Care, Inc.",1,1,66554,32.4,9.0
"CareFirst, Inc.",2,0,54745,31.2,8.7
"Point32Health, Inc.",2,0,26565,13.0,8.3
Lumeris Group Holdings Corporation,1,1,10976,11.3,8.1
PacificSource,2,0,55345,28.4,6.5
"Athena Healthcare Holdings, LLC",1,1,21953,10.7,6.4
Guidewell Mutual Holding Corporation,2,0,68645,33.4,5.8
Hawaii Medical Service Association,1,0,37817,18.4,5.5
Mass General Brigham Incorporated,2,0,19885,9.7,5.5
New York City Health and Hospitals Corporation,1,0,13517,6.6,5.4
Community Health Plan of Washington,1,0,8975,9.2,4.9
Montage Health,1,0,8361,8.6,4.1
Health Plan of San Mateo,1,0,8542,8.8,4.0
Johns Hopkins Healthcare LLC,2,0,14488,10.7,3.9
Chinese Hospital Association,1,0,5756,5.9,3.8
"Village Care of New York, Inc.",1,0,10919,5.3,3.8
"Elderplan, Inc.",1,0,26603,13.0,3.7
Blue Cross Blue Shield of Arizona,1,0,8642,4.2,3.7
Blue Cross Blue Shield of Nebraska,1,1,21759,22.4,3.5
"Independence Health Group, Inc.",1,0,7602,7.8,3.2
Banner Health,2,0,18243,8.9,3.0
SANTA CLARA COUNTY HEALTH AUTHORITY,1,0,11853,5.8,2.9
"CareOregon, Inc.",1,0,13288,6.5,2.9
Thomas Jefferson University,1,0,25870,12.6,2.9
"Healthfirst, Inc.",3,0,16284,9.4,2.7
"BMC Health System, Inc.",1,0,4271,4.4,2.2
Mercy Care,1,0,10852,11.2,2.0
Gold Kidney Health Plan,1,0,4844,5.0,1.8
Sanford Health,2,1,11949,7.4,1.7
"MVP Health Care, Inc.",1,0,32070,15.6,1.5
"EmblemHealth, Inc.",1,0,2366,2.4,1.4
"Hamaspik of Rockland County, Inc.",1,0,2153,2.2,1.3
Denver Health and Hospital Authority,1,0,5080,2.5,1.0
"LifeBridge Health, Inc.",1,0,13670,6.7,1.0
USAble Mutual Insurance Company,3,0,15109,14.3,1.0
Memorial Hermann Health System,1,0,14748,7.2,0.9
Community Health Group,1,0,9901,4.8,0.8
Sharp Healthcare,1,1,19572,9.5,0.8
McLaren Health Care Corporation,1,0,2416,2.5,0.8
CuraCor Solutions Corp.,2,1,5339,2.6,0.8
"AllCare Health, Inc.",1,0,2436,2.5,0.7
"Samaritan Health Services, Inc.",1,0,1420,1.5,0.7
Corewell Health,1,1,8685,4.2,0.6
"Gemstone Holdings, Inc.",1,0,32406,15.8,0.5
AlohaCare,1,0,2540,1.2,0.5
"Troy Holdings, Inc.",1,0,1707,1.8,0.4
"Martin's Point Health Care, Inc.",1,0,3614,1.8,0.3
"Independent Living Systems, LLC",1,0,1349,1.4,0.3
Sentara Health Care (SHC),1,0,908,0.4,0.1
UPMC Health System,1,0,1470,0.7,0.1
BlueCross BlueShield of Alabama,2,1,118431,60.3,0.0
CHRISTUS Health,1,0,8889,4.3,0.0
Astiva Health Holdings Incorporated,1,1,49525,24.1,0.0
"BrightSpring Health Services, Inc.",1,0,1072,1.1,0.0
South Country Health Alliance,1,0,932,0.5,0.0
"HealthPartners, Inc.",1,1,5717,2.8,0.0
BlueCross BlueShield of Tennessee,1,1,30362,14.8,0.0
MEDICAL MUTUAL OF OHIO,1,1,15240,7.4,0.0
"The Health Plan of West Virginia, Inc.",2,2,14170,6.9,0.0
St Francis Health System & St John Health System,1,1,37953,18.5,0.0
Highmark Health,1,1,15915,7.8,0.0
Blue Cross Blue Shield of Michigan Mutual Ins. Co.,3,2,50596,24.7,0.0
"SIHO Holding, Inc.",2,2,10721,9.8,0.0
"Curana Health Holdings, LLC",1,0,1440,1.5,0.0
"Aspirus, Inc.",1,1,6039,2.9,0.0
Blue Cross Blue Shield of Kansas,1,0,10240,5.0,0.0
"West Virginia United Health System, Inc.",1,0,12475,6.1,0.0
"SNP Holdings, LLC",1,0,1607,1.7,0.0
UCare Minnesota,3,0,0,0.0,0.0
Group 1001,3,0,0,0.0,0.0
