Company Name,Domain,Motion,Addressable Forgone QBP ($M),Cliff-Edge Contracts,Members (sub-4.0),QBP Avg Stars
Humana,humana.com,Star Ratings,1245.3,8,3750073,3.5
UnitedHealth,uhc.com,Star Ratings,466.0,12,1380796,3.5
Centene,centene.com,Star Ratings,75.5,7,225753,3.5
CVS / Aetna,aetna.com,Star Ratings,43.7,6,131184,3.5
Medica Holding Company,medica.com,Star Ratings,37.1,1,111604,3.5
"EmblemHealth, Inc.",emblemhealth.com,Star Ratings,30.3,3,86531,3.5
"Blue Cross and Blue Shield of Massachusetts, Inc.",,Star Ratings,30.3,2,86193,3.5
"Horizon Mutual Holdings, Inc",,Star Ratings,26.2,2,76022,3.5
California Physicians' Service,,Star Ratings,22.7,2,64672,3.5
Visiting Nurse Service of New York,,Star Ratings,19.9,1,60060,3.5
"Cambia Health Solutions, Inc.",,Star Ratings,18.3,1,52151,3.5
PacificSource,,Star Ratings,17.7,1,53306,3.5
Imperial Health Plan of California,,Star Ratings,16.6,1,49913,3.5
Blue Cross Blue Shield of Michigan Mutual Ins. Co.,bcbsm.com,Star Ratings,15.8,1,45000,3.5
"Intermountain Health Care, Inc.",intermountainhealthcare.org,Star Ratings,15.8,1,45000,3.5
UCare Minnesota,,Star Ratings,15.8,1,45000,3.5
Blue Cross Blue Shield of Arizona,azblue.com,Star Ratings,15.1,1,43003,3.5
Elevance,,Star Ratings,14.9,2,44411,3.5
The Cigna Group,cigna.com,Star Ratings,12.4,1,37336,3.5
Louisiana Health Service & Indemnity Company,,Star Ratings,12.2,1,36665,3.5
Hawaii Medical Service Association,hmsa.com,Star Ratings,11.9,1,35723,3.5
"Zing Health Consolidator, Inc",,Star Ratings,10.9,1,32919,3.5
CareSource,caresource.com,Star Ratings,9.7,1,29364,3.5
HCSC,hcsc.com,Star Ratings,9.6,2,28966,3.5
"Devoted Health, Inc.",,Star Ratings,8.7,4,25262,3.5
Thomas Jefferson University,,Star Ratings,8.3,1,25023,3.5
Banner Health,,Star Ratings,6.1,2,17932,3.5
"Commonwealth Care Alliance, Inc.",,Star Ratings,6.0,1,18086,3.5
Mass General Brigham Incorporated,,Star Ratings,6.0,1,17040,3.5
"Baystate Health, Inc.",,Star Ratings,5.1,2,14602,3.5
SCAN Group,scanhealthplan.com,Star Ratings,4.8,2,14455,3.5
"CareOregon, Inc.",,Star Ratings,4.6,1,13962,3.5
"Point32Health, Inc.",point32health.org,Star Ratings,4.6,2,12991,3.5
Molina,,Star Ratings,4.4,2,13391,3.5
"LifeBridge Health, Inc.",,Star Ratings,4.4,1,13103,3.5
Indiana University Health,,Star Ratings,4.0,1,11476,3.5
"BMC Health System, Inc.",,Star Ratings,4.0,1,12000,3.5
Ochsner Clinic Foundation,,Star Ratings,4.0,1,12000,3.5
"Aware Integrated, Inc.",,Star Ratings,3.8,1,11563,3.5
"Fallon Community Health Plan, Inc.",,Star Ratings,3.3,1,9927,3.5
"Alignment Healthcare USA, LLC",,Star Ratings,3.0,1,9056,3.5
Guidewell Mutual Holding Corporation,,Star Ratings,2.3,1,6676,3.5
"Centers Plan for Healthy Living, LLC",,Star Ratings,1.8,1,5464,3.5
Denver Health and Hospital Authority,,Star Ratings,1.7,1,5091,3.5
"Clover Health Holdings, Inc.",cloverhealth.com,Star Ratings,1.3,1,3632,3.5
"Rifkin Managed Care Holding, LLC",,Star Ratings,0.9,2,2566,3.5
"Longevity Health Founders, LLC",,Star Ratings,0.3,1,898,3.5
AIDS Healthcare Foundation,,Star Ratings,0.2,1,607,3.5
