parent_org,suggested_domain,top_contracts,tier_ab_addr2028_musd,new_fallers,contact_cap_rule,persona2_segment_rule
Humana Inc.,humana.com,H5216;H5619;H0028,1082.8,2,3 per persona,Medicare/Insurance segment finance or Chief Actuary (not corporate CFO)
"UnitedHealth Group, Inc.",uhc.com,H3805;H8768;H1278,315.9,4,3 per persona,UHC Medicare & Retirement CFO/actuarial (not corporate)
CVS Health Corporation,aetna.com,H3312;H3931;H7301,224.5,3,3 per persona,Aetna Medicare finance (not CVS corporate)
Centene Corporation,centene.com,H2775;H5599;H4868,187.0,0,3 per persona,Medicare segment finance/Chief Actuary (Wellcare)
"Elevance Health, Inc.",elevancehealth.com,H3447;H4161;H0544,142.9,0,3 per persona,Government Business/Medicare finance
Health Care Service Corporation,hcsc.com,H0354;H3949;H0672,105.6,2,3 per persona,HCSC HealthSpring/Medicare segment finance
"Molina Healthcare, Inc.",molinahealthcare.com,H5649;H3528;H3038,69.9,0,3 per persona,
"Clover Health Holdings, Inc.",cloverhealth.com,H5141,47.2,1,3 per persona,
"Cambia Health Solutions, Inc.",cambiahealth.com,H3817;H5009,40.1,0,3 per persona,
Visiting Nurse Service of New York,vnshealth.org,H5549,26.9,0,3 per persona,
Medica Holding Company,medica.com,H8889;H2458,26.9,0,3 per persona,
Imperial Health Plan of California,imperialhealthplan.com,H5496,25.4,0,3 per persona,
"Clever Care Health Plan, Inc.",VERIFY,H7607,22.7,0,3 per persona,
"Zing Health Consolidator, Inc",VERIFY,H4624,22.5,0,3 per persona,
"Devoted Health, Inc.",devoted.com,H2923;H6586;H8173,20.1,1,3 per persona,
Presbyterian Healthcare Services,phs.org,H3204,18.5,0,2 per persona,
Local Initiative Health Authority for LA County,VERIFY,H1224,14.9,0,2 per persona,
INLAND EMPIRE HEALTH PLAN,VERIFY,H8894,14.6,0,2 per persona,
"Lifetime Healthcare, Inc.",excellusbcbs.com,H3335,11.3,1,2 per persona,
ATRIO Health Plans,VERIFY,H6743;H7006,10.1,0,2 per persona,
Orange County Health Authority,VERIFY,H5433,9.8,0,2 per persona,
California Physicians' Service,VERIFY,H4937,8.9,0,2 per persona,
Guidewell Mutual Holding Corporation,VERIFY,H5434,8.3,0,2 per persona,
Lumeris Group Holdings Corporation,VERIFY,H6200,8.2,1,2 per persona,
"Baystate Health, Inc.",VERIFY,H8578,7.2,0,2 per persona,
"CareFirst, Inc.",VERIFY,H7379,6.8,0,2 per persona,
Hawaii Medical Service Association,VERIFY,H3832,6.8,0,2 per persona,
"Athena Healthcare Holdings, LLC",VERIFY,H0982,5.6,1,2 per persona,
Community Health Plan of Washington,VERIFY,H5826,5.2,0,2 per persona,
New York City Health and Hospitals Corporation,VERIFY,H0423,5.1,0,2 per persona,
"Point32Health, Inc.",VERIFY,H8330,4.8,0,2 per persona,
Mass General Brigham Incorporated,VERIFY,H9485,4.7,0,2 per persona,
