tier,new_faller,contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources,addr_2028_musd,addr_2029plus_musd,pct_2028,pct_2029plus,wavg_2026
A,,H5216,Humana Inc.,Humana,2405635,3.5,3.7,3.2,1172.7,340.2,0.29,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,456.7,521.2,0.39,0.44,3.42
A,,H5619,Humana Inc.,Humana,487278,3,3.1,3.1,500.7,244.5,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,277.0,307.2,0.55,0.61,3.15
A,,H0028,Humana Inc.,Humana,332419,3.5,3.4,3.6,162.1,91.5,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,105.2,117.6,0.65,0.73,3.43
A,Y,H3805,"UnitedHealth Group, Inc.",UnitedHealthcare,285454,3.5,3.4,3.5,139.2,74.2,0.53,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,88.7,117.1,0.64,0.84,3.49
A,,H6622,Humana Inc.,Humana,339824,3.5,3.5,3.4,165.7,72.9,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,86.9,86.5,0.52,0.52,3.54
A,,H8768,"UnitedHealth Group, Inc.",UnitedHealthcare,306218,3.5,3.3,3.3,149.3,71.2,0.48,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,83.2,103.6,0.56,0.69,3.51
A,,H3312,CVS Health Corporation,Aetna Medicare,103808,3,3.0,3.2,106.7,59.6,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,64.7,74.9,0.61,0.70,3.04
A,,H5970,Humana Inc.,Humana,88806,3,3.1,3.1,91.2,45.7,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,52.8,64.2,0.58,0.70,3.13
A,Y,H5141,"Clover Health Holdings, Inc.",Clover Health,153117,3.5,3.1,3.5,74.6,49.1,0.66,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,47.2,52.2,0.63,0.70,3.42
A,,H3931,CVS Health Corporation,Aetna Medicare,71661,3,3.0,3.2,73.6,40.6,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,44.0,47.9,0.60,0.65,2.90
A,Y,H1468,Humana Inc.,Humana,136925,3.5,3.5,3.6,66.8,34.7,0.52,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,39.3,45.4,0.59,0.68,3.43
A,,H3447,"Elevance Health, Inc.",Anthem HealthKeepers,155204,3.5,3.3,3.1,75.7,32.1,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,37.5,44.9,0.50,0.59,3.33
A,,H3817,"Cambia Health Solutions, Inc.",Regence BlueCross BlueShield of Oregon,51411,3,3.2,3.5,52.8,31.5,0.60,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,35.2,42.9,0.67,0.81,3.32
A,Y,H1278,"UnitedHealth Group, Inc.",UnitedHealthcare,137055,3.5,3.6,3.4,66.8,26.7,0.40,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,34.5,42.1,0.52,0.63,3.54
A,,H2775,Centene Corporation,Wellcare,60651,3,2.8,2.7,62.3,30.1,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,33.7,37.5,0.54,0.60,2.92
A,,H5599,Centene Corporation,Wellcare By Fidelis Care,69023,3,3.0,2.5,70.9,28.5,0.40,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,33.2,40.3,0.47,0.57,2.77
A,,H4161,"Elevance Health, Inc.",Anthem Blue Cross Partnership Plan,52014,3,2.8,3.0,53.4,29.2,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,32.5,38.1,0.61,0.71,2.85
A,,H0544,"Elevance Health, Inc.",Anthem Blue Cross,49674,3,2.9,3.0,51.0,26.8,0.52,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,30.4,37.3,0.60,0.73,3.25
A,Y,H7301,CVS Health Corporation,Aetna Medicare,97761,3.5,3.5,3.6,47.7,25.4,0.53,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,28.9,34.5,0.61,0.72,3.44
A,,H5549,Visiting Nurse Service of New York,VNS Health Medicare,67361,3.5,3.0,3.7,32.8,26.1,0.80,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,26.9,28.2,0.82,0.86,3.27
A,,H4868,Centene Corporation,Wellcare,41683,3,2.9,3.0,42.8,22.8,0.53,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,25.5,30.6,0.60,0.71,3.01
A,,H5496,Imperial Health Plan of California,"Imperial Health Plan of California, Inc.",52035,3.5,2.8,4.2,25.4,25.4,1.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,25.4,25.4,1.00,1.00,3.61
A,,H5525,Humana Inc.,Humana,175520,3.5,3.8,3.0,85.6,15.3,0.18,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,24.0,12.2,0.28,0.14,3.34
A,,H3379,"UnitedHealth Group, Inc.",UnitedHealthcare,100833,3.5,3.6,3.4,49.2,19.4,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,23.9,34.1,0.49,0.69,3.56
A,,H7607,"Clever Care Health Plan, Inc.",Clever Care Health Plan,50156,3.5,3.0,3.8,24.5,21.2,0.87,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,22.7,23.5,0.93,0.96,3.56
A,,H4624,"Zing Health Consolidator, Inc",Zing Health,36021,2.5,2.3,2.8,37.0,21.9,0.59,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,22.5,20.2,0.61,0.55,2.45
A,,H8889,Medica Holding Company,Medica,112248,3.5,3.8,3.6,54.7,19.9,0.36,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,22.2,35.8,0.41,0.65,3.55
A,Y,H5793,CVS Health Corporation,Aetna Medicare,61346,3.5,3.4,3.7,29.9,20.0,0.67,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,21.2,23.7,0.71,0.79,3.41
A,Y,H0354,Health Care Service Corporation,Cigna HealthCare,75201,3.5,3.6,3.6,36.7,18.3,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,21.2,27.5,0.58,0.75,3.41
A,,H0294,"UnitedHealth Group, Inc.",UnitedHealthcare,69933,3.5,3.6,3.5,34.1,15.1,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,18.8,24.4,0.55,0.72,3.33
A,,H3204,Presbyterian Healthcare Services,Presbyterian Health Plan,53755,3,3.3,2.7,55.2,19.1,0.35,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,18.5,32.2,0.34,0.58,2.91
A,Y,H1608,CVS Health Corporation,Aetna Medicare,118272,3.5,3.8,3.5,57.7,12.9,0.22,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,18.4,0.0,0.32,0.00,3.51
A,,H5649,"Molina Healthcare, Inc.",Central Health Medicare Plan,35257,3,3.2,2.8,36.2,15.2,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,18.3,24.3,0.51,0.67,3.18
A,,H3418,"UnitedHealth Group, Inc.",UnitedHealthcare,47402,3.5,3.0,3.6,23.1,16.2,0.70,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,17.7,20.3,0.77,0.88,3.35
B,,H3949,Health Care Service Corporation,Cigna HealthCare,37441,3,3.5,3.2,38.5,15.1,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,17.4,21.5,0.45,0.56,3.22
B,Y,H4141,Humana Inc.,Humana,124430,3.5,3.9,3.4,60.7,7.6,0.12,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,16.8,0.0,0.28,0.00,3.61
B,,H1416,Centene Corporation,Wellcare,57504,3,3.6,2.5,59.1,11.1,0.19,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,15.9,12.3,0.27,0.21,3.21
B,,H4471,"Elevance Health, Inc.",Anthem Blue Cross,104863,3,4.1,2.6,107.7,0.0,0.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,15.1,,0.14,,3.10
B,,H1224,Local Initiative Health Authority for LA County,L.A. Care Health Plan,30796,3,3.1,2.8,31.6,13.4,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,14.9,17.7,0.47,0.56,3.09
