contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources
H5216,Humana Inc.,Humana,2405635,3.5,3.7,3.2,1172.7,340.2,0.29,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5619,Humana Inc.,Humana,487278,3,3.1,3.1,500.7,244.5,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0028,Humana Inc.,Humana,332419,3.5,3.4,3.6,162.1,91.5,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3805,"UnitedHealth Group, Inc.",UnitedHealthcare,285454,3.5,3.4,3.5,139.2,74.2,0.53,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H6622,Humana Inc.,Humana,339824,3.5,3.5,3.4,165.7,72.9,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8768,"UnitedHealth Group, Inc.",UnitedHealthcare,306218,3.5,3.3,3.3,149.3,71.2,0.48,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3312,CVS Health Corporation,Aetna Medicare,103808,3,3.0,3.2,106.7,59.6,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5141,"Clover Health Holdings, Inc.",Clover Health,153117,3.5,3.1,3.5,74.6,49.1,0.66,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H5970,Humana Inc.,Humana,88806,3,3.1,3.1,91.2,45.7,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3931,CVS Health Corporation,Aetna Medicare,71661,3,3.0,3.2,73.6,40.6,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1468,Humana Inc.,Humana,136925,3.5,3.5,3.6,66.8,34.7,0.52,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H3447,"Elevance Health, Inc.",Anthem HealthKeepers,155204,3.5,3.3,3.1,75.7,32.1,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3817,"Cambia Health Solutions, Inc.",Regence BlueCross BlueShield of Oregon,51411,3,3.2,3.5,52.8,31.5,0.60,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H2775,Centene Corporation,Wellcare,60651,3,2.8,2.7,62.3,30.1,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4161,"Elevance Health, Inc.",Anthem Blue Cross Partnership Plan,52014,3,2.8,3.0,53.4,29.2,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5599,Centene Corporation,Wellcare By Fidelis Care,69023,3,3.0,2.5,70.9,28.5,0.40,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0544,"Elevance Health, Inc.",Anthem Blue Cross,49674,3,2.9,3.0,51.0,26.8,0.52,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1278,"UnitedHealth Group, Inc.",UnitedHealthcare,137055,3.5,3.6,3.4,66.8,26.7,0.40,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H5549,Visiting Nurse Service of New York,VNS Health Medicare,67361,3.5,3.0,3.7,32.8,26.1,0.80,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5496,Imperial Health Plan of California,"Imperial Health Plan of California, Inc.",52035,3.5,2.8,4.2,25.4,25.4,1.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H7301,CVS Health Corporation,Aetna Medicare,97761,3.5,3.5,3.6,47.7,25.4,0.53,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H4868,Centene Corporation,Wellcare,41683,3,2.9,3.0,42.8,22.8,0.53,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H4624,"Zing Health Consolidator, Inc",Zing Health,36021,2.5,2.3,2.8,37.0,21.9,0.59,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H7607,"Clever Care Health Plan, Inc.",Clever Care Health Plan,50156,3.5,3.0,3.8,24.5,21.2,0.87,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5793,CVS Health Corporation,Aetna Medicare,61346,3.5,3.4,3.7,29.9,20.0,0.67,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H8889,Medica Holding Company,Medica,112248,3.5,3.8,3.6,54.7,19.9,0.36,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3379,"UnitedHealth Group, Inc.",UnitedHealthcare,100833,3.5,3.6,3.4,49.2,19.4,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3204,Presbyterian Healthcare Services,Presbyterian Health Plan,53755,3,3.3,2.7,55.2,19.1,0.35,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0354,Health Care Service Corporation,Cigna HealthCare,75201,3.5,3.6,3.6,36.7,18.3,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H3418,"UnitedHealth Group, Inc.",UnitedHealthcare,47402,3.5,3.0,3.6,23.1,16.2,0.70,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5525,Humana Inc.,Humana,175520,3.5,3.8,3.0,85.6,15.3,0.18,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5649,"Molina Healthcare, Inc.",Central Health Medicare Plan,35257,3,3.2,2.8,36.2,15.2,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0294,"UnitedHealth Group, Inc.",UnitedHealthcare,69933,3.5,3.6,3.5,34.1,15.1,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3335,"Lifetime Healthcare, Inc.","Excellus Health Plan, Inc",86142,3.5,3.7,3.5,42.0,15.1,0.36,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H3949,Health Care Service Corporation,Cigna HealthCare,37441,3,3.5,3.2,38.5,15.1,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8894,INLAND EMPIRE HEALTH PLAN,IEHP DualChoice,38439,3,3.1,2.5,39.5,14.8,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3192,CVS Health Corporation,Aetna Medicare,27799,3,3.2,3.2,28.6,13.5,0.47,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1224,Local Initiative Health Authority for LA County,L.A. Care Health Plan,30796,3,3.1,2.8,31.6,13.4,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1608,CVS Health Corporation,Aetna Medicare,118272,3.5,3.8,3.5,57.7,12.9,0.22,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H3533,Humana Inc.,Humana,28961,3,3.1,2.8,29.8,12.2,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0672,Health Care Service Corporation,Cigna HealthCare,25514,3,2.9,2.7,26.2,12.1,0.46,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H1416,Centene Corporation,Wellcare,57504,3,3.6,2.5,59.1,11.1,0.19,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H8634,Health Care Service Corporation,"Blue Cross and Blue Shield of IL, NM, OK, TX",27555,3,3.2,2.7,28.3,10.9,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3528,"Molina Healthcare, Inc.",ConnectiCare,47730,3.5,3.7,3.6,23.3,10.6,0.45,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3561,Centene Corporation,Wellcare By Health Net,46980,3.5,3.2,3.0,22.9,10.1,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3822,Health Care Service Corporation,"Blue Cross and Blue Shield of IL, NM",21506,3,3.5,3.4,22.1,10.0,0.45,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
H7849,Health Care Service Corporation,Cigna HealthCare,29238,3,3.3,2.5,30.0,9.7,0.32,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3251,Health Care Service Corporation,Blue Cross and Blue Shield of New Mexico,20586,2.5,3.0,2.8,21.2,9.6,0.45,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5433,Orange County Health Authority,CalOptima Health OneCare,18849,3,2.7,2.7,19.4,9.6,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H5439,Centene Corporation,Wellcare By Health Net,19665,3,3.0,2.9,20.2,9.4,0.47,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H3038,"Molina Healthcare, Inc.",Molina Healthcare of California,29863,3,3.5,2.9,30.7,9.2,0.30,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026
H0755,"UnitedHealth Group, Inc.",UnitedHealthcare,93668,3.5,3.8,3.2,45.7,9.1,0.20,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER
