contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources,addr_2028_musd,addr_2029plus_musd,pct_2028,pct_2029plus,wavg_2026
H5216,Humana Inc.,Humana,2405635,3.5,3.7,3.2,1172.7,340.2,0.29,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,456.7,521.2,0.39,0.44,3.42
H5619,Humana Inc.,Humana,487278,3,3.1,3.1,500.7,244.5,0.49,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,277.0,307.2,0.55,0.61,3.15
H0028,Humana Inc.,Humana,332419,3.5,3.4,3.6,162.1,91.5,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,105.2,117.6,0.65,0.73,3.43
H3805,"UnitedHealth Group, Inc.",UnitedHealthcare,285454,3.5,3.4,3.5,139.2,74.2,0.53,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,88.7,117.1,0.64,0.84,3.49
H6622,Humana Inc.,Humana,339824,3.5,3.5,3.4,165.7,72.9,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,86.9,86.5,0.52,0.52,3.54
H8768,"UnitedHealth Group, Inc.",UnitedHealthcare,306218,3.5,3.3,3.3,149.3,71.2,0.48,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,83.2,103.6,0.56,0.69,3.51
H3312,CVS Health Corporation,Aetna Medicare,103808,3,3.0,3.2,106.7,59.6,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,64.7,74.9,0.61,0.70,3.04
H5141,"Clover Health Holdings, Inc.",Clover Health,153117,3.5,3.1,3.5,74.6,49.1,0.66,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,47.2,52.2,0.63,0.70,3.42
H5970,Humana Inc.,Humana,88806,3,3.1,3.1,91.2,45.7,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,52.8,64.2,0.58,0.70,3.13
H3931,CVS Health Corporation,Aetna Medicare,71661,3,3.0,3.2,73.6,40.6,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,44.0,47.9,0.60,0.65,2.90
H1468,Humana Inc.,Humana,136925,3.5,3.5,3.6,66.8,34.7,0.52,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,39.3,45.4,0.59,0.68,3.43
H3447,"Elevance Health, Inc.",Anthem HealthKeepers,155204,3.5,3.3,3.1,75.7,32.1,0.42,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,37.5,44.9,0.50,0.59,3.33
H3817,"Cambia Health Solutions, Inc.",Regence BlueCross BlueShield of Oregon,51411,3,3.2,3.5,52.8,31.5,0.60,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,35.2,42.9,0.67,0.81,3.32
