rank,account,source_list,reseller_of_record,bucket,size_band,verint_seats,dpa_seats,dpa_whitespace_seats,model,back_office_product,vertical_alignment_as_given,wfm_in_footprint,flags,score
1,Ally Financial Inc.,direct_backoffice_block,Direct,operational_visualizer,,2306,,,,Verint Operations Visualizer (AAMT) - SaaS,,not on matrix sheet,"Frank priority; sold Direct, not partner-registered",126.9
2,"Maximus, Inc.",direct_backoffice_block,Direct,operational_visualizer,,1510,,,,Verint Operations Productivity - SaaS,,not on matrix sheet,"Frank priority; sold Direct, not partner-registered",125.4
3,AIG Global Operations,direct_backoffice_block,Direct,operational_visualizer,,850,,,,Verint Strategic Operations Visualizer,,not on matrix sheet,"Frank priority; sold Direct, not partner-registered",123.4
4,Intuit Inc.,direct_backoffice_block,Direct,operational_visualizer,,300,,,,Verint Operations Productivity - SaaS,,not on matrix sheet,"Frank priority; sold Direct, not partner-registered",119.8
5,AmeriHealth Caritas Health Plan,partner_only_2024,"ConvergeOne, Inc",dpa_deployed,5000-9999,6246,3533,2713,OnPrem Subscription,,1,yes,"Verint reseller of record: ConvergeOne, Inc (also an Intradiem partner)",115.0
6,"Mercury Insurance Services, LLC",partner_only_2024,"ConvergeOne, Inc",dpa_deployed,5000-9999,5863,2742,3121,Perpetual,,1,yes,"Verint reseller of record: ConvergeOne, Inc (also an Intradiem partner)",115.0
7,Ford Motor Credit,partner_only_2024,"Cisco Systems, Inc.",dpa_deployed,2000-4999,3850,3850,0,OnPrem Subscription,,1,yes,"Verint reseller of record: Cisco Systems, Inc.",113.7
8,Christus Health Data Center,partner_only_2024,Avaya LLC,dpa_deployed,2000-4999,2732,149,2583,Perpetual,,1,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),112.5
9,Manulife Financial,partner_only_2024,Connex Telecommunications Inc.,dpa_deployed,2000-4999,2542,10,2532,OnPrem Subscription,,1,yes,Verint reseller of record: Connex Telecommunications Inc. (also an Intradiem partner),112.2
10,Allina Health,partner_only_2024,Avaya LLC,dpa_deployed,2000-4999,2259,358,1901,Perpetual,,1,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),111.8
11,First Republic Bank,partner_only_2024,"Amazon Web Services, Inc.",dpa_deployed,500-1999,1400,301,1099,SaaS,,1,yes,"Verint reseller of record: Amazon Web Services, Inc. (also an Intradiem partner)",110.2
12,Genworth North America Corporation,partner_only_2024,BT AXA Group,dpa_deployed,500-1999,1201,500,701,Perpetual,,1,yes,Verint reseller of record: BT AXA Group,109.6
13,Independence Blue Cross,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,1201,1,1200,SaaS,,1,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),109.6
14,American Family Life Assurance Company of Columbus (AFLAC),partner_only_2024,Avaya LLC,dpa_deployed,500-1999,952,952,0,OnPrem Subscription,,1,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),108.8
15,"Medavie, Inc.",partner_only_2024,Bell Canada,dpa_deployed,500-1999,851,600,251,Perpetual,,1,yes,Verint reseller of record: Bell Canada,108.4
16,Texas Health and Human Services Commission (HHSC),partner_only_2024,"ConvergeOne, Inc",dpa_deployed,5000-9999,6604,72,6532,OnPrem Subscription,,2,yes,"Verint reseller of record: ConvergeOne, Inc (also an Intradiem partner)",108.0
