,,,,,,,,,,,,,,,,,,,,,,,,,,,Prereq's,150 min. 
WFM Ent,QM 
Trans bot (speech),Non Speech Customers,Rec +
voice capture,Saas has Voice Capture,includes Trans,requires trans,requires trans
,,,,,,,,,,,,,,,,,,,,,,,,,,,List Price,240,240,120,624,128,480,197,600,120
Totals,Totals,,,,,4266,111055,20560,76285,34171,57763,69114,0,76287,59257,0,0,10765,0,1164,0,899,0,0,0,,Total Opportunity,16587360,9191280,1721280,68050320,10299904,38624640,15852393,23418600,4411560,188157337
Bill To Name,Account Name,Bucket,,Max License,Type    (WFE),EDM-Rec,Rec,Encrp,QM,AQM,DPA,WFM,WFMPro,PM,Speech,RTAA,IQ,CF,XM,VFC,community,RecPubSafe,ChAuto,KMEnt,KMPro,,,Workflex,Quality Bot   ,Trans Bot,Wrap Up 624+128,Voice Capture,RT Coach w Trans,Redaction,Speech 480+120,Encryption,Total
"Alliance Technology Group, LLC",USDA,500-1999,x,873,Perpetual,0,873,873,873,0,143,0,0,873,0,0,0,0,0,0,0,0,0,0,0,,,0,209520,104760,544752,111744,419040,171981,523800,,2085597
"Alliance Technology Group, LLC",Bureau of Fiscal Service fka Bureau of Public Debt,500-1999,,780,Perpetual,0,40,780,40,0,0,40,0,780,0,0,0,0,0,0,0,0,0,0,0,,,9600,9600,4800,24960,5120,19200,7880,24000,,105160
"Amazon Web Services, Inc.",Nationwide Mutual Insurance Co.,5000-9999,x,6400,SaaS,0,1,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,624,,,197,,,821
"Amazon Web Services, Inc.","Avis Budget Car Rental, LLC (ABCR)",2000-4999,,2450,SaaS,2450,2450,0,2350,0,2350,2350,0,0,2002,0,0,0,0,0,0,0,0,0,0,,,564000,564000,,,,,,,,1128000
"Amazon Web Services, Inc.",Regions Bank,2000-4999,x,2143,SaaS,0,2143,0,2143,2143,0,993,0,2143,0,0,0,0,0,0,0,0,0,0,0,,,238320,,,1337232,,,,,,1575552
"Amazon Web Services, Inc.",First Republic Bank,500-1999,x,1400,SaaS,1400,1400,0,301,0,301,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,240,72240,36120,873600,,,,,,982200
"Amazon Web Services, Inc.","Best Western International, Inc.",500-1999,,600,SaaS,0,600,0,600,600,600,600,0,600,0,0,0,0,0,0,0,0,0,0,0,,,144000,,,374400,76800,288000,118200,,,1001400
Arrias Technical Solutions Inc.,Toronto Hydro-Electric System Limited,500-1999,,980,Perp/Term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,,,0,,,,,,,,,0
"Arrow Enterprise Computing Solutions, Inc","Quantum Health, Inc.",500-1999,,1180,Perpetual,0,0,1180,2,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,,,0,480,,,,,,,,480
"Atos IT Solutions and Services, Inc.",Medstar Health,500-1999,,779,Term,0,779,0,779,0,51,285,0,371,0,0,0,0,0,0,0,0,0,0,0,,,68400,186960,93480,486096,99712,373920,153463,467400,93480,2022911
Avaya LLC,Department of Veterans Affairs,2000-4999,x,3579,Term,0,0,0,0,0,3579,0,0,0,3579,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,"Horizon Healthcare Services, Inc. d/b/a Horizon BCBS of New Jersey",2000-4999,x,3240,Term,0,0,1,0,0,1230,0,0,0,0,0,0,3240,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,HCA National Patient Account SVC KY,2000-4999,x,3228,Term,0,3228,1,0,0,3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,2014272,413184,1549440,635916,1936800,,6549612
Avaya LLC,TSYS,2000-4999,x,2838,Term,0,156,0,0,0,2838,0,0,0,2838,0,0,0,0,0,0,0,0,0,0,,,0,,,97344,19968,74880,30732,,18720,241644
Avaya LLC,Christus Health Data Center,2000-4999,x,2732,Perpetual,0,2732,1018,1524,592,149,567,0,1524,0,0,0,0,0,0,0,0,0,0,0,,,136080,,,1704768,349696,1311360,538204,1639200,,5679308
Avaya LLC,Allina Health,2000-4999,x,2259,Perpetual,0,2259,256,1256,1000,358,641,0,1645,670,0,0,0,0,0,0,0,0,0,0,,,153840,,,1409616,289152,1084320,445023,,,3381951
Avaya LLC,GE Healthcare (APCS CC Global Hub),2000-4999,x,2179,Perpetual,0,40,0,0,0,0,2179,0,0,0,0,0,0,0,0,0,0,0,0,0,,,522960,,,24960,5120,19200,7880,24000,4800,608920
Avaya LLC,State of Washington - Department of Social and Health Services (DSHS),2000-4999,x,2100,Term,0,0,0,0,0,2100,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,"Mastercard Technologies, LLC",500-1999,x,2095,SaaS,0,2093,0,2093,2093,2093,2093,0,2093,2095,0,0,378,0,0,0,0,0,0,0,,,502320,,,1306032,,,,,,1808352
Avaya LLC,The Results Company,500-1999,x,2000,SaaS,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,"Cognizant Healthcare Services, LLC",500-1999,x,1920,Term,0,0,1,0,0,1920,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Southern Company,500-1999,x,1863,Term,0,276,4,0,0,690,0,0,0,1863,0,0,638,0,0,0,0,0,0,0,,,0,,,172224,35328,132480,54372,,,394404
Avaya LLC,Xcel Energy,500-1999,x,1724,SaaS,0,800,3,800,1600,1724,800,0,800,1724,0,0,1724,0,0,0,0,0,0,0,,,192000,,,499200,,,,,,691200
Avaya LLC,HD Supply,500-1999,x,1722,Term,0,0,0,0,0,0,0,0,0,1722,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,"DTE Energy Inc. dba DTE Energy Corporate Services, LLC",500-1999,x,1668,Term,0,0,0,0,0,1020,0,0,0,1668,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,"Nordstrom, Inc.",500-1999,,1649,Term,0,0,0,0,0,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Penn State Health,500-1999,x,1320,Term,0,1320,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,823680,168960,633600,260040,792000,158400,2836680
Avaya LLC,Amtrak,500-1999,,1294,SaaS,647,783,0,647,647,1294,647,0,1294,1294,0,0,0,0,0,0,0,0,0,0,,,155280,,,488592,,,,,,643872
Avaya LLC,Independence Blue Cross,500-1999,x,1201,SaaS,0,1,0,1,0,1,1201,0,1201,0,0,0,0,0,0,0,0,0,0,0,,,288240,240,120,624,128,480,197,,,290029
Avaya LLC,Scott & White Memorial Hospital,500-1999,x,1163,Term,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,725712,148864,558240,229111,697800,139560,2499287
Avaya LLC,Map Communications,500-1999,x,1080,Term,0,1080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,673920,138240,518400,212760,648000,,2191320
Avaya LLC,United States Pharmaceutical Group LLC dba Convey Health Solutions LLC,500-1999,x,1078,Term,0,1078,1,1078,0,0,1078,0,1078,1078,0,0,0,0,0,0,0,0,0,0,,,258720,258720,,672672,137984,517440,212366,,,2057902
Avaya LLC,Norton Lifelock Capex,500-1999,x,1020,Term,0,1020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,636480,130560,489600,200940,612000,,2069580
Avaya LLC,VA Medical Cntr Chief Supply Svc,500-1999,x,1014,Term,0,0,0,0,0,1014,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
Avaya LLC,Reliance Insurance,500-1999,x,1008,Term,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,628992,129024,483840,198576,604800,120960,2166192
Avaya LLC,MGM Resorts,500-1999,,1008,Term,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0
