Partner,Account,Max Verint,,Max Verint license,Model,DPA Seats,Vertical Alignment,DPA-Max Licence
Avaya LLC,"Alere Health, Inc",500-1999,x,600,Perpetual,0,1,600
Avaya LLC,Allina Health,2000-4999,x,2259,Perpetual,358,1,1901
Avaya LLC,Allstate Insurance Co. of Canada Ltd.,500-1999,x,827,OnPrem Subscription,827,1,0
Avaya LLC,American Family Life Assurance Company of Columbus (AFLAC),500-1999,x,952,OnPrem Subscription,952,1,0
"ConvergeOne, Inc",AmeriHealth Caritas Health Plan,5000-9999,x,6246,OnPrem Subscription,3533,1,2713
Cerium Networks,Avista Corporation,500-1999,x,501,OnPrem Subscription,183,,318
Avaya LLC,B2B Bank,500-1999,x,513,Perpetual,0,1,513
Connex Telecommunications Inc.,Bank of Montreal (BMO),5000-9999,x,5394,OnPrem Subscription,118,1,5276
"Cisco Systems, Inc.",Banner Health dba North Colorado Medical Center,500-1999,x,558,Perpetual,0,3,558
Avaya LLC,Beth Israel Deaconess Medical Center,500-1999,x,661,OnPrem Subscription,0,2,661
Cerium Networks,Boeing Employees Credit Union,500-1999,x,745,SaaS,0,1,745
"Cisco Systems, Inc.",Bureau of Fiscal Service fka Bureau of Public Debt,500-1999,x,780,Perpetual,0,3,780
Bell Canada,CGI,500-1999,x,750,Perpetual,379,3,371
Avaya LLC,Charlton Memorial Hospital,500-1999,x,600,OnPrem Subscription,300,3,300
Avaya LLC,Christus Health Data Center,2000-4999,x,2732,Perpetual,149,1,2583
Avaya LLC,"Cognizant Healthcare Services, LLC",500-1999,x,1920,OnPrem Subscription,1920,1,0
SimComm Pte Ltd,Cognizant Technical Solutions,5000-9999,x,5175,Perpetual,0,2,5175
CBTS Technology Solutions LLC,Corewell Health,2000-4999,x,2960,SaaS,0,1,2960
Avaya LLC,"DTE Energy Inc. dba DTE Energy Corporate Services, LLC",500-1999,x,1668,OnPrem Subscription,1020,1,648
"Presidio Networked Solutions, LLC",Entergy Services Inc,2000-4999,x,2200,OnPrem Subscription,1100,2,1100
BT Americas Inc.,"Farmers Group, Inc.",5000-9999,x,9554,SaaS,1,1,9553
"Amazon Web Services, Inc.",First Republic Bank,500-1999,x,1400,SaaS,301,1,1099
"Cisco Systems, Inc.",Ford Motor Credit,2000-4999,x,3850,OnPrem Subscription,3850,1,0
Avaya LLC,GE Healthcare (APCS CC Global Hub),2000-4999,x,2179,Perpetual,0,1,2179
BT AXA Group,Genworth North America Corporation,500-1999,x,1201,Perpetual,500,1,701
Avaya LLC,HCA National Patient Account SVC KY,2000-4999,x,3228,OnPrem Subscription,3180,1,48
Avaya LLC,HD Supply,500-1999,x,1722,OnPrem Subscription,0,2,1722
Servion Global Solutions Inc,"Hinge Health, Inc.",500-1999,x,610,SaaS,0,1,610
Avaya LLC,"Horizon Healthcare Services, Inc. d/b/a Horizon BCBS of New Jersey",2000-4999,x,3240,OnPrem Subscription,1230,1,2010
SHI International Corp,Idaho Department of Health and Welfare,500-1999,x,564,Perp/OnPrem Subscription,0,1,564
Avaya LLC,Independence Blue Cross,500-1999,x,1201,SaaS,1,1,1200
Bell Canada,"Industrielle Alliance, Assurances et Services Financier Inc.",500-1999,x,965,Perpetual,0,1,965
Connex Telecommunications Inc.,Manulife Financial,2000-4999,x,2542,OnPrem Subscription,10,1,2532
Avaya LLC,Map Communications,500-1999,x,1080,OnPrem Subscription,0,1,1080
Bell Canada,"Medavie, Inc.",500-1999,x,851,Perpetual,600,1,251
Avaya LLC,Medical University Hospital Authority,500-1999,x,720,OnPrem Subscription,0,2,720
"ConvergeOne, Inc","Mercury Insurance Services, LLC",5000-9999,x,5863,Perpetual,2742,1,3121
Servion Global Solutions Inc,Mount Sinai Medical Center,500-1999,x,730,OnPrem Subscription,0,1,730
Avaya LLC,"MSC Industrial Direct CO., Inc.",500-1999,x,801,SaaS,0,2,801
"Amazon Web Services, Inc.",Nationwide Mutual Insurance Co.,5000-9999,x,6400,SaaS,6400,1,0
Avaya LLC,Nordstrom Bank,500-1999,x,651,SaaS,495,1,156
Carousel Industries of North America,North Middlesex Savings Bank Inc.,500-1999,x,600,Perp/OnPrem Subscription,0,1,600
Avaya LLC,Northwell Health (fka North Shore LI Jewish Hospital),500-1999,x,800,OnPrem Subscription,800,1,0
Avaya LLC,Norton Lifelock Capex,500-1999,x,1020,OnPrem Subscription,0,3,1020
Avaya LLC,Parkview Corporate Health,500-1999,x,650,OnPrem Subscription,0,2,650
Avaya LLC,Penn State Health,500-1999,x,1320,OnPrem Subscription,60,1,1260
"Cisco Systems, Inc.",Progressive Casualty Insurance Company,Over 10000,x,20700,SaaS,0,1,20700
Servion Global Solutions Inc,Propharma Group LLC,500-1999,x,950,SaaS,0,1,950
"Amazon Web Services, Inc.",Regions Bank,2000-4999,x,2143,SaaS,0,1,2143
Avaya LLC,Reliance Insurance,500-1999,x,1008,OnPrem Subscription,0,1,1008
Avaya LLC,Sentara,500-1999,x,506,Perp/OnPrem Subscription,0,1,506
Avaya LLC,Southern Company,500-1999,x,1863,OnPrem Subscription,690,2,1173
Avaya LLC,State of Washington - Department of Social and Health Services (DSHS),2000-4999,x,2100,OnPrem Subscription,2100,3,0
Connex Telecommunications Inc.,Sun Life Assurance Company of Canada,2000-4999,x,3761,OnPrem Subscription,85,1,3676
Avaya LLC,TB Consulting LLC,500-1999,x,670,OnPrem Subscription,0,3,670
ServiceMaster Consumer Services Limited Partnership,"Terminix Consumer Services, LLC",500-1999,x,1500,SaaS,0,2,1500
"ConvergeOne, Inc",Texas Health and Human Services Commission (HHSC),5000-9999,x,6604,OnPrem Subscription,72,2,6532
"Cisco Systems, Inc.",The Cleveland Clinic Foundation,2000-4999,x,3577,OnPrem Subscription,0,1,3577
Group Elite Communications Inc.,The National Bank of Canada,5000-9999,x,7620,OnPrem Subscription,0,1,7620
Avaya LLC,The Results Company,500-1999,x,2000,SaaS,0,2,2000
Avaya LLC,The University of Texas M.D. Anderson Cancer Center,500-1999,x,760,OnPrem Subscription,0,3,760
"Cisco Systems, Inc.","T-Mobile USA, Inc.",2000-4999,x,3117,Perpetual,0,2,3117
Avaya LLC,TransUnion LLC,500-1999,x,940,OnPrem Subscription,940,2,0
Group Elite Communications Inc.,Trinity Health,500-1999,x,1500,OnPrem Subscription,0,1,1500
Avaya LLC,TSYS,2000-4999,x,2838,OnPrem Subscription,2838,1,0
Avaya LLC,United States Pharmaceutical Group LLC dba Convey Health Solutions LLC,500-1999,x,1078,OnPrem Subscription,0,1,1078
Avaya LLC,University of Washington Medicine,500-1999,x,580,SaaS,0,1,580
"Cisco Systems, Inc.",US Navysparwarsyscen,500-1999,x,695,Perpetual,0,2,695
"Alliance Technology Group, LLC",USDA,500-1999,x,873,Perpetual,143,3,730
Avaya LLC,VA Medical Cntr Chief Supply Svc,500-1999,x,1014,OnPrem Subscription,1014,3,0
"Cisco Systems, Inc.","VW Credit, Inc.",500-1999,x,825,Perpetual,825,1,0
Avaya LLC,Wawanesa Insurance,500-1999,x,731,OnPrem Subscription,731,1,0
Avaya LLC,Xcel Energy,500-1999,x,1724,SaaS,1724,2,0
"BEI Holdings, Inc. (DBA: Business Electronics)",Yale New Haven Hospital,500-1999,x,899,Perpetual,525,3,374
Direct,Cigna Corporation,,,,Verint Operations Manager - SaaS,5100
Direct,Ally Financial Inc.,,,,Verint Operations Visualizer (AAMT) - SaaS,2306
