contract_id,parent_org,marketing_name,overall_star_2025,overall_star_2026,star_delta_25to26,cms_customer_service_star_2025,cms_member_experience_star_2025,cms_complaints_star_2025,measure_slippage,measure_slippage_why
H5216,Humana Inc.,Humana,3.5,3.5,0.0,4.0,4.0,4.0,FALSE,
H5619,Humana Inc.,Humana,3.5,3.0,-0.5,4.0,3.0,4.0,TRUE,Overall 3.5->3.0 (-0.5); weak QO domain: Member Experience 3.0 (2025 CMS)
H0028,Humana Inc.,Humana,3.5,3.5,0.0,4.0,4.0,3.0,FALSE,
H3805,"UnitedHealth Group, Inc.",UnitedHealthcare,4.0,3.5,-0.5,4.0,3.0,4.0,TRUE,Overall 4.0->3.5 (-0.5); weak QO domain: Member Experience 3.0 (2025 CMS)
H6622,Humana Inc.,Humana,3.5,3.5,0.0,4.0,4.0,3.0,FALSE,
H8768,"UnitedHealth Group, Inc.",UnitedHealthcare,3.5,3.5,0.0,4.0,3.0,4.0,FALSE,
H3312,CVS Health Corporation,Aetna Medicare,3.5,3.0,-0.5,4.0,4.0,4.0,FALSE,
H5970,Humana Inc.,Humana,3.5,3.0,-0.5,4.0,4.0,4.0,FALSE,
H5141,"Clover Health Holdings, Inc.",Clover Health,4.0,3.5,-0.5,4.0,3.0,4.0,TRUE,Overall 4.0->3.5 (-0.5); weak QO domain: Member Experience 3.0 (2025 CMS)
H3931,CVS Health Corporation,Aetna Medicare,3.5,3.0,-0.5,4.0,3.0,4.0,TRUE,Overall 3.5->3.0 (-0.5); weak QO domain: Member Experience 3.0 (2025 CMS)
H1468,Humana Inc.,Humana,4.0,3.5,-0.5,4.0,4.0,3.0,FALSE,
H3447,"Elevance Health, Inc.",Anthem HealthKeepers,3.5,3.5,0.0,4.0,4.0,4.0,FALSE,
H3817,"Cambia Health Solutions, Inc.",Regence BlueCross BlueShield of Oregon,3.5,3.0,-0.5,4.0,3.0,4.0,TRUE,Overall 3.5->3.0 (-0.5); weak QO domain: Member Experience 3.0 (2025 CMS)
H1278,"UnitedHealth Group, Inc.",UnitedHealthcare,4.0,3.5,-0.5,5.0,3.0,4.0,TRUE,Overall 4.0->3.5 (-0.5); weak QO domain: Member Experience 3.0 (2025 CMS)
H2775,Centene Corporation,Wellcare,2.5,3.0,0.5,3.0,2.0,3.0,FALSE,
H5599,Centene Corporation,Wellcare By Fidelis Care,3.5,3.0,-0.5,3.0,3.0,3.0,TRUE,"Overall 3.5->3.0 (-0.5); weak QO domain: Customer Service 3.0, Member Experience 3.0 (2025 CMS)"
H4161,"Elevance Health, Inc.",Anthem Blue Cross Partnership Plan,3.0,3.0,0.0,4.0,,3.0,FALSE,
H0544,"Elevance Health, Inc.",Anthem Blue Cross,3.0,3.0,0.0,4.0,1.0,3.0,FALSE,
H7301,CVS Health Corporation,Aetna Medicare,4.0,3.5,-0.5,3.0,4.0,4.0,TRUE,Overall 4.0->3.5 (-0.5); weak QO domain: Customer Service 3.0 (2025 CMS)
H5549,Visiting Nurse Service of New York,VNS Health Medicare,3.5,3.5,0.0,4.0,2.0,3.0,FALSE,
H4868,Centene Corporation,Wellcare,3.5,3.0,-0.5,4.0,,4.0,FALSE,
H5496,Imperial Health Plan of California,"Imperial Health Plan of California, Inc.",3.5,3.5,0.0,4.0,,2.0,FALSE,
H5525,Humana Inc.,Humana,3.5,3.5,0.0,4.0,4.0,3.0,FALSE,
H3379,"UnitedHealth Group, Inc.",UnitedHealthcare,3.5,3.5,0.0,4.0,3.0,4.0,FALSE,
H7607,"Clever Care Health Plan, Inc.",Clever Care Health Plan,3.0,3.5,0.5,3.0,,3.0,FALSE,
