account,customer_flag,install_base,fo_risk_flag,owner_cleared
Capita,TRUE,TRUE,FALSE,FALSE
Foundever (Sitel),TRUE,TRUE,FALSE,FALSE
Ameriprise Financial,TRUE,TRUE,FALSE,FALSE
Canadian Imperial Bank Of Commerce (CIBC),TRUE,TRUE,FALSE,FALSE
Capital Group,TRUE,TRUE,FALSE,FALSE
Citicorp Credit Services,TRUE,TRUE,FALSE,FALSE
Edward Jones,TRUE,TRUE,FALSE,FALSE
Goldman Sachs,TRUE,TRUE,FALSE,FALSE
Guardian Life,TRUE,TRUE,FALSE,FALSE
Illumifin,TRUE,TRUE,FALSE,FALSE
JPMorgan Chase,TRUE,TRUE,FALSE,FALSE
MetLife,TRUE,TRUE,FALSE,FALSE
PNC Financial,TRUE,TRUE,FALSE,FALSE
Progressive Leasing,TRUE,TRUE,FALSE,FALSE
Prudential Financial,TRUE,TRUE,FALSE,FALSE
Royal Bank of Canada (RBC),TRUE,TRUE,FALSE,FALSE
Sanlam RSA,TRUE,TRUE,FALSE,FALSE
Snap Finance LLC,TRUE,TRUE,FALSE,FALSE
Social Finance (SoFi),TRUE,TRUE,FALSE,FALSE
Synchrony Financial,TRUE,TRUE,FALSE,FALSE
TD Bank Group,TRUE,TRUE,FALSE,FALSE
TIAA-CREF,TRUE,TRUE,FALSE,FALSE
The Northwestern Mutual Life Insurance Company,TRUE,TRUE,FALSE,FALSE
US Bancorp,TRUE,TRUE,FALSE,FALSE
Wells Fargo,TRUE,TRUE,FALSE,FALSE
Wells Fargo (Alvaria),TRUE,TRUE,FALSE,FALSE
Wells Fargo (Five9),TRUE,TRUE,FALSE,FALSE
Aetna,TRUE,TRUE,FALSE,FALSE
Aetna Dental,TRUE,TRUE,FALSE,FALSE
Aetna Medicaid,TRUE,TRUE,FALSE,FALSE
Aetna Medicare,TRUE,TRUE,FALSE,FALSE
Aetna Provider Services,TRUE,TRUE,FALSE,FALSE
Blue Cross Blue Shield of North Carolina,TRUE,TRUE,FALSE,FALSE
CIGNA,TRUE,TRUE,FALSE,FALSE
CVS Health,TRUE,TRUE,FALSE,FALSE
CVS Health PBM,TRUE,TRUE,FALSE,FALSE
CVS Health Retail,TRUE,TRUE,FALSE,FALSE
CVS Health Specialty,TRUE,TRUE,FALSE,FALSE
Elevance Health,TRUE,TRUE,FALSE,FALSE
Health Care Service Corporation,TRUE,TRUE,FALSE,FALSE
Humana,TRUE,TRUE,FALSE,FALSE
Molina Healthcare,TRUE,TRUE,FALSE,FALSE
Optum,TRUE,TRUE,FALSE,FALSE
OptumRx,TRUE,TRUE,FALSE,FALSE
UnitedHealth Group (UHG),TRUE,TRUE,FALSE,FALSE
UnitedHealthcare,TRUE,TRUE,FALSE,FALSE
VitalityHealth,TRUE,TRUE,FALSE,FALSE
AXA (UK),TRUE,TRUE,FALSE,FALSE
Amica Mutual,TRUE,TRUE,FALSE,FALSE
Assurant,TRUE,TRUE,FALSE,FALSE
Auto & General Insurance Company,TRUE,TRUE,FALSE,FALSE
