account,signal,fired_date
Devoted Health,earnings_stars_mention,2026-07-08
Devoted Health,quality_hiring_cluster,2026-07-01
Clover Health,sec_filing_stars,2026-06-20
Clover Health,quality_leadership_change,2026-05-15
Clover Health,measure_slippage,2026-06-15
Medica,claims_backlog_news,2026-07-05
Point32Health,quality_hiring_cluster,2026-03-01
Cambia Health Solutions,sec_filing_stars,2026-07-09
CareFirst BlueCross BlueShield,earnings_stars_mention,2026-07-07
Humana,sec_filing_stars,2026-07-05
Humana,quality_hiring_cluster,2026-07-05
