manager,date
Sample manager A,2026-08-05
Sample manager A,2026-08-10
Sample manager A,2026-08-11
Sample manager A,2026-08-12
Sample manager A,2026-08-17
Sample manager A,2026-08-20
Sample manager A,2026-08-25
Sample manager A,2026-08-26
Sample manager A,2026-09-04
Sample manager B,2026-08-07
Sample manager B,2026-08-12
Sample manager B,2026-08-31
Sample manager C,2026-08-03
Sample manager C,2026-08-05
Sample manager C,2026-08-13
Sample manager C,2026-08-19
Sample manager C,2026-08-20
Sample manager C,2026-08-24
Sample manager C,2026-08-25
Sample manager C,2026-08-27
Sample manager C,2026-08-28
