account,full_name,title,linkedin_url
Carelon,justin santangelo,Regional Operations Director,https://www.linkedin.com/in/justin-santangelo-80616aba/
Carelon,Rhondale Henderson,Director of Claims & Customer Service,https://www.linkedin.com/in/rhondale-henderson-3a0144aa/
Carelon,Jacklyn Rooney,Director of claims disbursements,https://www.linkedin.com/in/jacklyn-rooney-124599164/
Elevance Health,Rick Misch,Staff VP Finance Operations (headline: Senior Finance Operations Executive)  [no LinkedIn URL yet],
Elevance Health,Amber Kanady,Staff Vice President Payment Integrity Financial Operations  [no LinkedIn URL yet],
Elevance Health,Shad Wilson,Director Of Operations  [no LinkedIn URL yet],
Elevance Health,Vikrant Urs SAFe SPC,Director of Operations  [no LinkedIn URL yet],
Elevance Health,Jill Cook,Director Of Operations  [no LinkedIn URL yet],
Elevance Health,Christopher Soran,GB State Operations Director  [no LinkedIn URL yet],
Elevance Health,"Cindy Riley, MBA",GB State Operations Director  [no LinkedIn URL yet],
Elevance Health,Jane Tessmann CPPM,Director Of Operations  [no LinkedIn URL yet],
Elevance Health,Bruce MacGregor,Director of Operations  [no LinkedIn URL yet],
Elevance Health,Andrea Share,Vice President Operations  [no LinkedIn URL yet],
Elevance Health,Kristin Hertneky,Provider Operations Director  [no LinkedIn URL yet],
Elevance Health,"Priyanka Basu. MBA, MS, PHR, PAHM",Provider Operations Director  [no LinkedIn URL yet],
Elevance Health,"Briana Miller, MPH",Medicare State Operations Director  [no LinkedIn URL yet],
Elevance Health,"Colleen Scanlan White, LPCC",Provider Operations Director  [no LinkedIn URL yet],
Elevance Health,Megan Lombard,Medicaid Operations Director  [no LinkedIn URL yet],
Elevance Health,"Kathryn Holcomb, CTP",Treasury Operations Director  [no LinkedIn URL yet],
Elevance Health,Tony Brown,Director Of Operations  [no LinkedIn URL yet],
Elevance Health,"Tennille Joseph, PMP",Provider Operations Director  [no LinkedIn URL yet],
Elevance Health,DANIEL MARIN,Director of Operations  [no LinkedIn URL yet],
Elevance Health,James Alvarez,Provider Operations Director/Manager  [no LinkedIn URL yet],
Elevance Health,Danielle Emerle,Director Of Operations  [no LinkedIn URL yet],
Elevance Health,Aaron Pence,Director of Operations  [no LinkedIn URL yet],
Elevance Health,Gina Wendling CPC,Director Of Operations  [no LinkedIn URL yet],
Elevance Health,Lori Alexander,Medicaid Operations Director Sr.  [no LinkedIn URL yet],
Elevance Health,Jennifer O'Brien,Director of Operations  [no LinkedIn URL yet],
Elevance Health,Stephen Fisher,Director of Operations  [no LinkedIn URL yet],
Elevance Health,Angie Creech,Director of Operations - Missouri Medicaid  [no LinkedIn URL yet],
Elevance Health,James Price,Director of Operations  [no LinkedIn URL yet],
Elevance Health,kelly carpinone,Director Of Operations  [no LinkedIn URL yet],
Elevance Health,Smith Mathews,Head of Operations  [no LinkedIn URL yet],
Elevance Health,Lyn Gross,Director of Operations  [no LinkedIn URL yet],
Elevance Health,Hankin Forrest,Director Of Operations  [no LinkedIn URL yet],
Elevance Health,Alyssa Shattuck,Director Process Excellence  [no LinkedIn URL yet],
Elevance Health,John Scott Fowler,Director of Operational Excellence  [no LinkedIn URL yet],
Elevance Health,Kevin Hepp,"Sr Director, Process Excellence  [no LinkedIn URL yet]",
Elevance Health,Brandon Ballinger,"Director, Business Systems Implementation  [no LinkedIn URL yet]",
Elevance Health,Dawn Baird,"VP Planning, Execution and Operational Excellence  [no LinkedIn URL yet]",
Elevance Health,Sharon Goist,Business Systems Architecture Director  [no LinkedIn URL yet],
Elevance Health,Elisa Knudsen,Business Systems Architecture Director  [no LinkedIn URL yet],
Elevance Health,Ashlyn DesMarteau,"Director, Operational Excellence Provider Data Solutions  [no LinkedIn URL yet]",
Elevance Health,Veronica Bruce,Director Business Systems Implementation  [no LinkedIn URL yet],
Elevance Health,Kathy Rector,"Director, Business Systems Implementation  [no LinkedIn URL yet]",
Elevance Health,Berna Montes,Director Business Process Improvement  [no LinkedIn URL yet],
Elevance Health,"Brandon G. Thundercloud Custalow, MBA",Director Grievance and Appeals  [no LinkedIn URL yet],
Elevance Health,"Gaurav Basu, PhD, MBA",Senior Director Business Improvement | Enterprise Provider Data Operations  [no LinkedIn URL yet],
Elevance Health,Gela Cooley,"Director Financial Operations, Payment Integrity  [no LinkedIn URL yet]",
Elevance Health,Holly Smith,"Grievance & Appeals, Director II  [no LinkedIn URL yet]",
Elevance Health,Cheryl Haberkon,Director Claims  [no LinkedIn URL yet],
Elevance Health,Christine Mattera,"Director, Grievances & Appeals, Carelon  [no LinkedIn URL yet]",
Elevance Health,Juan Alberto Miraz,"Claims Director II, Anthem Blue Cross and Blue Shield  [no LinkedIn URL yet]",
Elevance Health,Jennifer Bellcour,"Director, Carelon Payment Integrity  [no LinkedIn URL yet]",
Elevance Health,Jamie True,Provider Data.Escalation Director  [no LinkedIn URL yet],
Elevance Health,Leslie Langslow,Director II Claims  [no LinkedIn URL yet],
Elevance Health,Sally Dietrich,Claims Director 1  [no LinkedIn URL yet],
