account,full_name,title,linkedin_url
Assurant,Tariq Khan,"Asst. Vice President, Operations Technology",https://www.linkedin.com/in/tariq-khan-05b8411/
Assurant,Nancy Durbin,"AVP, Workforce Strategy & Planning",https://www.linkedin.com/in/nancy-durbin-1263965/
Assurant,Melissa de la Rosa,"AVP, Finance Transformation & Business Systems",https://www.linkedin.com/in/melissa-de-la-rosa-1a824627/
Assurant,Jodi Kempf,Director - HR Technology Operations | Assurant Global Corporate Technology,https://www.linkedin.com/in/jodi-kempf-b951214/
Assurant,Devaka Balasuriya,Director Of Technology Operations,https://www.linkedin.com/in/devaka-balasuriya/
Assurant,Marcia A. McCarty,"Director, Operations Technology",https://www.linkedin.com/in/marcia-a-mccarty-459a884/
Assurant,Rita Falco,"VP, Controller - Global Housing",https://www.linkedin.com/in/rita-falco-1a18b7a/
Assurant,"Archana Cunningham, CPA","VP, Connected Living Controller",https://www.linkedin.com/in/archana-cunningham-cpa-5167b68/
Assurant,Tim Brown,Vice President Global Sourcing and Procurement,https://www.linkedin.com/in/tim-brown-4300211/
Assurant,David V.,Head of Responsible Sourcing,https://www.linkedin.com/in/david-v-2115924/
Assurant,Michael Gulbranson,V.P. of Operations,https://www.linkedin.com/in/michael-gulbranson-69b489b/
Cleveland Clinic,Diane Costa,Director-Patient Financial Services,https://www.linkedin.com/in/diane-costa-b62a13a/
DIRECTV,Shane Rutledge,Director of Business Operations,https://www.linkedin.com/in/shane-rutledge-43372699/
DIRECTV,Tom Lockwood,Director of Business Operations,https://www.linkedin.com/in/tom-lockwood-287575a/
DIRECTV,Shereen Small,"Director, Business Operations",https://www.linkedin.com/in/shereen-small-020a3a145/
Goldman Sachs,"Chris Fischer, CPA","Vice President, Platform Solutions",https://www.linkedin.com/in/chris-fischer-23953259/
Goldman Sachs,Hao Lam,Vice President - Platform Solutions,https://www.linkedin.com/in/hao-lam-21b077107/
Goldman Sachs,Sandeep D.,"Managing Director, Platform Solutions",https://www.linkedin.com/in/davesandeep/
Goldman Sachs,"Brady Mortensen, MBA",Vice President - Platform Solutions,https://www.linkedin.com/in/brady-mortensen-mba-3406a431/
Goldman Sachs,Henry Brown,Vice President in Platform Solutions,https://www.linkedin.com/in/henry-brown-9b2a521a/
Goldman Sachs,Christina Baldwin,"Vice President, Platform Solutions",https://www.linkedin.com/in/christinabaldwin75072/
Goldman Sachs,Dmitri Kouzmine,VP Platform Solutions,https://www.linkedin.com/in/dmitri-kouzmine-13784850/
Goldman Sachs,"Veronica L. Murphy, MBA",VP - Platform Solutions,https://www.linkedin.com/in/veronica-l-murphy-mba-533779a/
McKesson,"Suzanne Feeney, PharmD","Senior Director, Pharmacy Solutions",https://www.linkedin.com/in/suzanne-feeney-pharmd/
McKesson,Francisco Fernandez,"Director, FP&A – Financial Shared Services",https://www.linkedin.com/in/francisco-fernandez-055766a/
McKesson,Tim Davis,"Director, Accounting Shared Services",https://www.linkedin.com/in/tim-davis-8463792/
MetLife,Don Collins,Vice President,https://www.linkedin.com/in/don-collins-8ba4205/
MetLife,Penelope Jones,Head of Global Employee Relations Investigations,https://www.linkedin.com/in/penelope-jones-200a9115/
MetLife,Linda Broderick,SVP Head of Global Procurement and Vendor Management,https://www.linkedin.com/in/linda-broderick-bab1421/
MetLife,Nick Manna,Vice-President - Separate Account Controller,https://www.linkedin.com/in/nick-manna-a7a30a7/
MetLife,Derik Cavignano,"Vice President, Head of Accounting Policy & Internal Controls",https://www.linkedin.com/in/derik-cavignano-b4902622/
MetLife,Daphne Arenas,Vice President & Controller - Latin America,https://www.linkedin.com/in/daphnearenas/
MetLife,Charles Connery,VP - Treasury - Global Head of Cash Management and Banking,https://www.linkedin.com/in/charles-connery-939872a/
Prudential Financial,Ruth Hiatt,"VP, Administration, Office of the Chairman",https://www.linkedin.com/in/ruth-hiatt-3418a65/
Prudential Financial,Janine Faulls,"Director of US Business, Financial Operations",https://www.linkedin.com/in/janine-faulls-1a8715168/
Prudential Financial,Jennifer Wheeler,"Director, Disability Claims, Group Insurance",https://www.linkedin.com/in/jennifer-wheeler-b69692119/
Prudential Financial,Glenn Veneziano,Director - Financial Management,https://www.linkedin.com/in/glenn-veneziano-95372123/
Prudential Financial,James Walden,Director Treasury Operations,https://www.linkedin.com/in/james-walden-579363135/
Prudential Financial,Michael Estep,"President, Group Insurance",https://www.linkedin.com/in/michael-estep-294a4a11/
Prudential Financial,Rakhi Badlani,Vice President of Tax Operations and Enterprise Tax Operations,https://www.linkedin.com/in/rakhi-badlani-7b324311/
Prudential Financial,Sean Cottrell,Vice President Operations,https://www.linkedin.com/in/sean-cottrell-095a848/
Prudential Financial,"Rob Kutyla, CPA","Vice President, Corporate Accounting Policy - Insurance",https://www.linkedin.com/in/rob-kutyla-cpa-3365418/
Prudential Financial,Chris Cima,"Vice President, International Operations & Systems",https://www.linkedin.com/in/chris-cima-93ba859b/
Prudential Financial,Stephen Magelinski,Vice President- Treasury Oversight and Reporting Solutions,https://www.linkedin.com/in/stephen-magelinski-70890611/
Prudential Financial,Greg Julich,"Vice President, Accounting",https://www.linkedin.com/in/greg-julich-17648037/
Prudential Financial,Joseph Silva,VP Operations,https://www.linkedin.com/in/joseph-silva-41289084/
Prudential Financial,Louise Sheppard,"VP, EO Operations",https://www.linkedin.com/in/louise-sheppard-34b0416/
Prudential Financial,"Eugenia Uskova, CPA","Vice President, Accounting Policy",https://www.linkedin.com/in/eugenia-uskova-cpa-90286314/
