account,full_name,title,linkedin_url
Centene,Valkyrie Nordman,Vice President Operations  [no LinkedIn URL yet],
Centene,Tara Price,"VP, Operational Excellence  [no LinkedIn URL yet]",
Centene,Scott Hartley,VP Operations - Strategic Initiatives  [no LinkedIn URL yet],
Centene,Timothy Davis,Vice President Encounters Business Operations  [no LinkedIn URL yet],
Centene,Sara Smith (formerly Ferguson),"Vice President, Operations (Medicare)  [no LinkedIn URL yet]",
Centene,Rebecca Randall,Vice President Operations  [no LinkedIn URL yet],
Centene,Shubash Singh,VP Operations at PA Health and Wellness  [no LinkedIn URL yet],
Centene,Sarah Porter,Vice President Operations  [no LinkedIn URL yet],
Centene,Veronica LaDuc,Vice President Operations  [no LinkedIn URL yet],
Centene,Tiffany Harms,Vice President Ambetter Operations  [no LinkedIn URL yet],
Centene,"Jesse Lewis, MBA, MSOL, LSSBB","Senior Director, Medicare Operations  [no LinkedIn URL yet]",
Centene,William Polston,Director - Operations Transformation  [no LinkedIn URL yet],
Centene,"Gloria Ortiz, MBA, MA","DIRECTOR, MARKETS AND OPERATIONS, MEDICARE PRESIDENTS  [no LinkedIn URL yet]",
Centene,Bridgette Lipman Morris,"Director, Process Improvement  [no LinkedIn URL yet]",
Centene,Jose Ramirez,Senior Director Operations  [no LinkedIn URL yet],
Centene,"John Martin Peters, MBA",Director of Payment Integrity - Health Plan Concierge  [no LinkedIn URL yet],
Centene,Janet W.,"Senior Director, Medical Management Operations  [no LinkedIn URL yet]",
Centene,Cathy Lannan Hosek,Director of Process Improvement  [no LinkedIn URL yet],
Centene,Ian S.,"Director, Threat Operations, Forensics & eDiscovery  [no LinkedIn URL yet]",
Centene,Kim Brogan,Director Utilization Management Support Operations  [no LinkedIn URL yet],
Centene,Katie Kortkamp,"Senior Director, Payment Integrity  [no LinkedIn URL yet]",
Centene,Kory Aretz,"Senior Director, Claims Configuration  [no LinkedIn URL yet]",
Centene,Laura Phin,Sr. Director Clinical Operations Overs  [no LinkedIn URL yet],
Centene,Ryan Clay,"Senior Director, Operations  [no LinkedIn URL yet]",
Centene,Mandar Joshi,Director Health Plan Operations  [no LinkedIn URL yet],
Centene,Mike Conlin,"Director, Healthcare Financial Operations  [no LinkedIn URL yet]",
Centene,Tiffany Uhlenhake,Director of Process Improvement  [no LinkedIn URL yet],
Centene,Sharath Rao,"Sr. Director, Plan Operations  [no LinkedIn URL yet]",
Centene,Jeremy Burlingame,Director of Business Operations  [no LinkedIn URL yet],
Centene,Ryan Davis,"Director, Market & Operations  [no LinkedIn URL yet]",
Centene,George Lukachan,"Sr. Director, Business Operations  [no LinkedIn URL yet]",
Centene,Stacey Van Nest,"Director - Business Operations, Employee Engagement  [no LinkedIn URL yet]",
Centene,Rhonda Maddern,"Senior Director, Utilization Management  [no LinkedIn URL yet]",
Centene,Matija White,Director of Utilization Management  [no LinkedIn URL yet],
Centene,John Stevens,Senior Director of Operations  [no LinkedIn URL yet],
Centene,Stephen Johnson,Senior Director Claims Operations  [no LinkedIn URL yet],
Centene,"Lisa Crouch, PMP","Director, Medicaid Claims Configuration and Implementation  [no LinkedIn URL yet]",
Centene,"Audrey Chase Wallace, RHIA, CHC, PMP",Senior Director of Project Management & Process Improvement  [no LinkedIn URL yet],
Centene,Mark Thomas,"Director, Workforce Management  [no LinkedIn URL yet]",
Centene,Molly Priest,"Senior Director, Health Plan Finance & Operations  [no LinkedIn URL yet]",
Centene,Maria C.,"Director, Utilization Management  [no LinkedIn URL yet]",
Centene,Racheal Angel,Director of Business Operations  [no LinkedIn URL yet],
Centene,"Jeralyn Knox, FACHE",Global Director Business Operations  [no LinkedIn URL yet],
Centene,Nichole Moser-Smith,"Director, Business Operations  [no LinkedIn URL yet]",
Centene,Mike Davis,"Director, Service Desk & Shared Services  [no LinkedIn URL yet]",
Centene,Ambar Decelle,"Director of Operations, Superior HealthPlan  [no LinkedIn URL yet]",
Centene,Rami Khawaja,"Director, Business Operations Automation  [no LinkedIn URL yet]",
Centene,Kyle Newman,"Senior Director, Operations  [no LinkedIn URL yet]",
Centene,Jenna M.,"Director, Utilization Management  [no LinkedIn URL yet]",
Centene,Kora Mathew,"Director, Business Operations  [no LinkedIn URL yet]",
Centene,"Noah Cirincione, MBA","Director, Payment Integrity  [no LinkedIn URL yet]",
Centene,Kristin Burnham,Senior Director of Finance Shared Services  [no LinkedIn URL yet],
Centene,Rick Reynolds,Senior Director of Business Process Improvement  [no LinkedIn URL yet],
Centene,Julie Crousore,"Director, Business Operations  [no LinkedIn URL yet]",
Centene,Jim Colaluca,"Director, Claims Operations  [no LinkedIn URL yet]",
Centene,"Maureen Donlan-Sorenson, MSW, LICSW","Senior Director, Foster Care Operations  [no LinkedIn URL yet]",
Centene,"Kelli Weber, LCSW","Director, Clinical Operations  [no LinkedIn URL yet]",
Centene,Brad Swenson,"Director, Business Operations  [no LinkedIn URL yet]",
Centene,Rushil Patel,"Director, Medicare Formulary and Benefit Operations  [no LinkedIn URL yet]",
Centene,Katie Oakley,"Director, Workforce Management  [no LinkedIn URL yet]",
Centene,Jennifer L.,"Director, D-SNP Transformation & Operations  [no LinkedIn URL yet]",
Centene,Jason Bowers,Director New Business Implementation and Operations  [no LinkedIn URL yet],
Centene,Jess LaFentres,"Director, Core Operations  [no LinkedIn URL yet]",
Centene,Jodi Powell,Sr Director Payment Integrity -Governance  [no LinkedIn URL yet],
Centene,My Duyen Huynh,Director of Process Improvement  [no LinkedIn URL yet],
Centene,Keith Lueking,Operations Director  [no LinkedIn URL yet],
Centene,Lisa Thompson,"Senior Director, Utilization Management  [no LinkedIn URL yet]",
Centene,Nikki Tucker,Director Claims Configuration  [no LinkedIn URL yet],
Centene,Erica Oberman,"Sr. Director, Market Engagement, Enterprise Utilization Management  [no LinkedIn URL yet]",
Centene,Ovsanna Demirchyan,Director of Operations  [no LinkedIn URL yet],
Centene,Julie Dyer,Director Of Operations  [no LinkedIn URL yet],
Centene,Jennifer Thomas,"Director, Payment Integrity  [no LinkedIn URL yet]",
Centene,"Craig Garofalo, PMP",Director - Enrollment  [no LinkedIn URL yet],
Centene,Michelle Boller,Senior Director Operations Sunflower Health Plan  [no LinkedIn URL yet],
Centene,Shakira McKenzie,Director of Business Operations  [no LinkedIn URL yet],
Centene,Nicole Tamburrino,Director Of Clinical Operations  [no LinkedIn URL yet],
Centene,Darien Smith,Senior Director | Enterprise Operations  [no LinkedIn URL yet],
Centene,"Beau Winfrey,  MBA",Senior Director Business Operations  [no LinkedIn URL yet],
Centene,"Denise Black, LCSW, PhD, CPHQ","Senior Director, Utilization Management  [no LinkedIn URL yet]",
Centene,Sharon Hutchison,Director Claims Configuration  [no LinkedIn URL yet],
Centene,Dawn Pardee,"Director, Business Operations  [no LinkedIn URL yet]",
Centene,John Bondar,"Director, Workforce Management  [no LinkedIn URL yet]",
Centene,"Daniel Simien, BS, PMP, SSGB","Senior Director, Continuous Improvement  [no LinkedIn URL yet]",
Centene,Caroline P.,Market and Operations Director  [no LinkedIn URL yet],
Centene,Alicia Hemker,"Director, Operations  [no LinkedIn URL yet]",
