account,full_name,title
Goldman Sachs,Rajiv Khiani,Sr. Vice President Card Disputes Strategy
Goldman Sachs,Ambika Prasad,Head of Product - Disputes & Customer Servicing Platform - Apple Card
Goldman Sachs,Mark Alexander,"VP, Head of Disputes Operations"
Goldman Sachs,Ericka Leslie,Chief Operating Officer of Global Banking and Markets
Goldman Sachs,Adolfo Levano,Vice President | AWM | US Deposits | Back Office Operations
Goldman Sachs,Chetan Saini,Vice President – Client Services & Technology Operations
Goldman Sachs,Micah Heavener,Head of Operations
Goldman Sachs,John L. Bertrand,"Chief Operating Officer, CF&O Shared Services"
Goldman Sachs,Mohit Prakash,VP - Product Owner & Reporting
Goldman Sachs,Przemek Myslecki,"Global Head - Asset Servicing Claim, Product Owner"
Goldman Sachs,Steve Repasky,VP   |   Product Owner Global Listed Clearing Engineering
MetLife,Bradd Chignoli,"Executive Vice President, Head of Regional Business & Workforce Engagement"
MetLife,Zeid Khamash,Head of Operations
MetLife,Niranjan Tumkur,Director of Software Development Shared services
MetLife,Peter Jones,VP Data & Application  Operations
MetLife,Imdad S.,"Sr Director, Global Technology & Operations (GTO)"
MetLife,Mitch Krzyzek,Assistant Vice President – Head of Audit Operations & Technology
Prudential Financial,Ken Solon,Sr. Vice President - Operations & Technology
Prudential Financial,Priya K.C. Bhatt,"Head of Financial Strategy & Analysis, Global Technology & Operations"
Prudential Financial,Jose Mello,Emerging Markets Partnerships Operations & Technology Director
Prudential Financial,Cynthia Benjamin,"VP, Treasury and Payment Operations"
Prudential Financial,Leigh Foster,Director Of Claims Processing
Prudential Financial,Paul Parseghian,"Managing Director, Head of Operations and Systems"
Prudential Financial,Scott Hall,"Director - Group Insurance Appeals, Litigation, & Complaints"
Prudential Financial,Michael White,Non-Financial Risk Management Shared Services Vice President
Prudential Financial,Natalie Speranza,"Vice President, Financial Reporting, Finance Shared Services"
Prudential Financial,Artsiom Basaraba,"Vice President, Chief Product Owner (Digital Experience)"
Prudential Financial,Raymond Bonachea,"Director, Product Owner at Prudential"
Prudential Financial,Rosaly Macaulay,"VP, Corporate Technology Product Owner"
Prudential Financial,Joseph M. Hayes,Senior Vice President & Chief Operating Officer : Group Insurance
Prudential Financial,John Sieb,Business Head and COO - Long Term Care
Prudential Financial,Manoj D.,"Global Chief Product Owner, End User Experience"
Prudential Financial,Todd Shriber,Chief Operating Officer & Head of Strategy - Global Retirement & Insurance
