account,full_name,input_title,status,live_company,live_title,linkedin_url,note
Goldman Sachs,Rajiv Khiani,Sr. Vice President Card Disputes Strategy,current,Goldman Sachs,Sr. Vice President Card Disputes Strategy,https://www.linkedin.com/in/rajiv-khiani-017a762/,
Goldman Sachs,Ambika Prasad,Head of Product - Disputes & Customer Servicing Platform - Apple Card,current,Goldman Sachs,Vice President,https://www.linkedin.com/in/ambika-prasad-b5367459/,title differs from input; live role since 2016-01
Goldman Sachs,Mark Alexander,"VP, Head of Disputes Operations",current,Goldman Sachs,"VP, Head of Disputes Operations",https://www.linkedin.com/in/mark-alexander-48ab71/,
Goldman Sachs,Ericka Leslie,Chief Operating Officer of Global Banking and Markets,current,Goldman Sachs,Chief Administrative Officer,https://www.linkedin.com/in/ericka-leslie-4796911/,title differs from input; live role since 2026-05
Goldman Sachs,Adolfo Levano,Vice President | AWM | US Deposits | Back Office Operations,current,Goldman Sachs,Vice President | AWM | US Deposits | Back Office Operations,https://www.linkedin.com/in/adolfo-levano-58894145/,
Goldman Sachs,Chetan Saini,Vice President – Client Services & Technology Operations,current,Goldman Sachs,Vice President – Client Services & Technology Operations,https://www.linkedin.com/in/chetansaini2005/,
Goldman Sachs,Micah Heavener,Head of Operations,current,Goldman Sachs,Head of Operations,https://www.linkedin.com/in/micah-heavener-064ba55/,
Goldman Sachs,John L. Bertrand,"Chief Operating Officer, CF&O Shared Services",not_found,,,,Clay returned no profile for this name at goldmansachs.com
Goldman Sachs,Mohit Prakash,VP - Product Owner & Reporting,current,Goldman Sachs,VP - Product Owner & Reporting,https://www.linkedin.com/in/mohit-prakash-0b99a772/,
Goldman Sachs,Przemek Myslecki,"Global Head - Asset Servicing Claim, Product Owner",not_found,,,,Clay returned no profile for this name at goldmansachs.com
Goldman Sachs,Steve Repasky,VP   |   Product Owner Global Listed Clearing Engineering,current,Goldman Sachs,VP   |   Product Owner Global Listed Clearing Engineering,https://www.linkedin.com/in/steve-repasky-855474a5/,
MetLife,Bradd Chignoli,"Executive Vice President, Head of Regional Business & Workforce Engagement",current,MetLife,"Executive Vice President, Head of Regional Business & Workforce Engagement",https://www.linkedin.com/in/bradd-chignoli-412750/,
MetLife,Zeid Khamash,Head of Operations,not_found,,,,Clay returned no profile for this name at metlife.com
MetLife,Niranjan Tumkur,Director of Software Development Shared services,current,MetLife,Director of Software Development Shared services,https://www.linkedin.com/in/niranjan-tumkur-70434866/,
MetLife,Peter Jones,VP Data & Application  Operations,current,MetLife,VP Data & Application  Operations,https://www.linkedin.com/in/peterjohnjones/,
MetLife,Imdad S.,"Sr Director, Global Technology & Operations (GTO)",current,MetLife,"Sr Director, Global Technology & Operations (GTO)",https://www.linkedin.com/in/imdads/,
MetLife,Mitch Krzyzek,Assistant Vice President – Head of Audit Operations & Technology,left,The Jackson Laboratory,"Director, Finance Data Governance, Strategic Support and Reporting",https://www.linkedin.com/in/mkrzyzek/,now at The Jackson Laboratory since 2026-03
Prudential Financial,Ken Solon,Sr. Vice President - Operations & Technology,ambiguous,Prudential Financial,Vice President Policyholder Services,https://www.linkedin.com/in/ken-solon-6153367/,"2 profiles, none matches input title; shown = domain match; alternates: Lincoln Financial / EVP, CIO and Head of Digital (https://www.linkedin.com/in/ken-solon-7a855821/)"
Prudential Financial,Priya K.C. Bhatt,"Head of Financial Strategy & Analysis, Global Technology & Operations",not_found,,,,Clay returned no profile for this name at prudential.com
Prudential Financial,Jose Mello,Emerging Markets Partnerships Operations & Technology Director,current,Prudential Financial,Emerging Markets Partnerships Operations & Technology Director,https://www.linkedin.com/in/josemello/,
Prudential Financial,Cynthia Benjamin,"VP, Treasury and Payment Operations",current,Prudential Financial,"VP, Enterprise Finance Operations Shared Services",https://www.linkedin.com/in/cynthia-benjamin-87934072/,title differs from input; live role since 2022-02
Prudential Financial,Leigh Foster,Director Of Claims Processing,current,Prudential Financial,Director Process Management,https://www.linkedin.com/in/leigh-foster-60b99b13a/,title differs from input; live role since 2020-11
Prudential Financial,Paul Parseghian,"Managing Director, Head of Operations and Systems",current,PGIM,Head of Operations,https://www.linkedin.com/in/paul-parseghian-597b166/,"moved to PGIM (Prudential asset-management subsidiary) as Head of Operations 2025-12; same group, new line, reconfirm relevance"
Prudential Financial,Scott Hall,"Director - Group Insurance Appeals, Litigation, & Complaints",current,Prudential Financial,"Vice President | Appeals, Litigation & Complaints, Group Insurance",https://www.linkedin.com/in/scott-hall-670866a/,title differs from input; live role since 2019-07
Prudential Financial,Michael White,Non-Financial Risk Management Shared Services Vice President,current,Prudential Financial,Non-Financial Risk Management Shared Services Vice President,https://www.linkedin.com/in/michael-white-cpa-b7494377/,
Prudential Financial,Natalie Speranza,"Vice President, Financial Reporting, Finance Shared Services",current,Prudential Financial,"Vice President, Financial Reporting, Finance Shared Services",https://www.linkedin.com/in/natalie-speranza-68912159/,
Prudential Financial,Artsiom Basaraba,"Vice President, Chief Product Owner (Digital Experience)",current,Prudential Financial,"Vice President, Chief Product Owner (Digital Experience)",https://www.linkedin.com/in/artsiom-basaraba-11056046/,
Prudential Financial,Raymond Bonachea,"Director, Product Owner at Prudential",current,Prudential Financial,"Director, Product Owner at Prudential",https://www.linkedin.com/in/raymond-bonachea-3663b04/,
Prudential Financial,Rosaly Macaulay,"VP, Corporate Technology Product Owner",current,Prudential Financial,"VP, Corporate Technology Product Owner",https://www.linkedin.com/in/rosaly-chaderjian-macaulay/,
Prudential Financial,Joseph M. Hayes,Senior Vice President & Chief Operating Officer : Group Insurance,not_found,,,,Clay returned no profile for this name at prudential.com
Prudential Financial,John Sieb,Business Head and COO - Long Term Care,current,Prudential Financial,Business Head and COO - Long Term Care,https://www.linkedin.com/in/john-sieb-0a124815/,
Prudential Financial,Manoj D.,"Global Chief Product Owner, End User Experience",current,Prudential Financial,"Global Chief Product Owner, End User Experience",https://www.linkedin.com/in/manoj-doshi-81a1313/,
Prudential Financial,Todd Shriber,Chief Operating Officer & Head of Strategy - Global Retirement & Insurance,not_found,,,,Clay returned no profile for this name at prudential.com
