account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
Elevance Health,Felicia Norwood,Executive Vice President & Chief Health Benefits Officer,https://www.linkedin.com/in/felicia-norwood-ab88b61a/,"Executive Vice President & President, Government Health Benefits",Elevance Health,2018-06,current,"title on LinkedIn differs from input (Government Health Benefits, not Chief Health Benefits Officer)"
Elevance Health,Blake Main,Chief Claims Officer,https://www.linkedin.com/in/blakemain/,Chief Claims Officer,Elevance Health,2024,current,
Elevance Health,Chris Thomas,"Staff VP, Claims Operations",,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com; also tried Christopher Thomas"
Elevance Health,Cassie Evans,Director Medicare Claims,https://www.linkedin.com/in/cassie-evans-46ba6443/,Director Medicare Claims,Elevance Health,2014-07,current,
Elevance Health,"Corrine Livesay, GBA","Director II, Claims; Stop Loss Business Unit",https://www.linkedin.com/in/corrinelivesay/,"Director II, Claims; Stop Loss Business Unit",Elevance Health,2025-04,current,searched as Corrine Livesay
Elevance Health,Holly Huffman,"Senior Director, Claims Operations",https://www.linkedin.com/in/hollymcneely/,"Senior Director, Claims Operations",Elevance Health,2025-03,current,"URL slug is hollymcneely (prior surname), profile name Holly Huffman"
Elevance Health,Diana Brooks,Staff Vice President - National Accounts Claims Operations - Anthem,,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com"
Elevance Health,Melissa Wise,"Vice President, Claims",https://www.linkedin.com/in/melissa-wise-983b9716/,"Vice President, Claims",Elevance Health,2022-09,current,
Elevance Health,Aimée Dailey,"President, Government Business",https://www.linkedin.com/in/aimee-dailey-40174516/,"President, Government Business",Elevance Health,2026-03,current,found as Aimee Dailey (accent dropped)
Elevance Health,Natasha Lefear,"Staff VP, Government Business Encounters Operations",https://www.linkedin.com/in/natashalefear/,Member,Women We Admire,2025-07,current,"VERIFY: latest LinkedIn entry is a Women We Admire membership (2025-07), not an employer; Clay still resolves her under elevancehealth.com; Elevance Staff VP role assumed still active"
Elevance Health,"Amy (Godby) Ledford, PMP, PAHM",State Medicaid Operations Director,https://www.linkedin.com/in/amyledford24/,State Medicaid Operations Director,Elevance Health,2026-02,current,searched as Amy Ledford
Elevance Health,Latisha Greene,Director II GBD Medicaid Appeals,https://www.linkedin.com/in/latisha-greene-47649b35/,Director II GBD Medicaid Appeals,Elevance Health,2023-05,current,
Elevance Health,Becky Harbottle,"Staff VP, Commercial Grievances and Appeals",https://www.linkedin.com/in/becky-harbottle-92a2aa20/,"Staff VP, Commercial Grievances and Appeals","Anthem, Inc.",2019-11,current,"found via anthem.com; profile still lists Anthem, Inc. (pre-rebrand), not updated to Elevance"
Elevance Health,Stephanie Barnes-Blue,Appeals & Grievance Director,,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com; also tried Stephanie Barnes"
Elevance Health,Erin Bagniewski,Staff VP Implementation,https://www.linkedin.com/in/erin-bagniewski/,Staff VP Implementation,Elevance Health,2025-10,current,
Elevance Health,Kathy Talnose,"Staff Vice President, Operations and Execution",https://www.linkedin.com/in/kathy-talnose-17634290/,"Staff Vice President, Operations and Execution",Elevance Health,2026-06,current,
Elevance Health,Lee Napier,"Staff VP, Corporate Shared Services IT",https://www.linkedin.com/in/lee-napier-4071472/,Retired,Elevance Health,2003-01,left,LinkedIn headline reads Retired; company still shows Elevance Health; remove from map
Elevance Health,Francisco Escobedo,"Sr. Director, Business Systems Architecture",https://www.linkedin.com/in/franciscoeescobedo/,"Sr. Director, Business Systems Architecture",Elevance Health,2026-01,current,
Elevance Health,"Marla K. Wilson, MBA",Vice President Provider Data Solutions,https://www.linkedin.com/in/marlakwilson/,Vice President Provider Data Solutions,Elevance Health,2024-07,current,searched as Marla Wilson
Elevance Health,Kristine Smith (Huot),"Staff VP, Enablement Office, Provider Data Solutions",https://www.linkedin.com/in/kristine-huot-smith/,"Staff VP, Enablement Office, Provider Data Solutions",Elevance Health,2022-07,current,searched as Kristine Smith
Elevance Health,"Laxmi Sharma - PMP, PAHM",Director - Provider Data Solutions and Programs,https://www.linkedin.com/in/laxmi-sharma-pmp-pahm-5b4973b6/,Director - Provider Data Solutions and Programs,Elevance Health,2017-04,current,searched as Laxmi Sharma
Elevance Health,"Nicole Keating, MBA, CLP, CSA","Staff VP, Operations & Execution | Health Benefits Operations",https://www.linkedin.com/in/nicoleakeating/,"Staff VP, Operations & Execution | Health Benefits Operations",Elevance Health,2026-06,current,searched as Nicole Keating
Elevance Health,Diedre Rutherford,"Director, Business Process Automation",https://www.linkedin.com/in/diedre-rutherford-74232369/,"Director, Business Process Automation",Elevance Health,2025-11,current,
Elevance Health,Pamela Hursh,"Staff Vice President, Solution Shared Services",https://www.linkedin.com/in/pamela-hursh-4b58a010/,"Staff Vice President, Solution Shared Services",Elevance Health,2021-05,current,
Elevance Health,Rick Misch,Staff Vice President Commercial Billing and Collection Services,,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com; also tried Richard Misch"
