account,company_record_id,matched_name,domain,account_type,ownership,sfdc_owner_id,is_current_customer,sf_account_id,known_people_count_for_account,match_confidence,variants_tried,notes
Elevance Health,1024661172,Empire Blue Cross Blue Shield (BCBS NY),empireblue.com,Prospect,,005V5000001gBKBIA2,NO (not in Current Customers segment),001V5000006b9JOIAY,32,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Elevance Health,1024661397,Anthem Blue Cross Blue Shield Indiana (BCBS IN),anthem.com,,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bHF2IAM,2,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Carelon,1024661589,Beacon Health Options,beaconhealthsystem.org,Prospect,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bBgNIAU,28,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Carelon,1024661634,IngenioRx,ingenio-rx.com,Prospect,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bCxOIAU,10,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Elevance Health,1024661812,Anthem Clinical,,Prospect,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bHFNIA2,11,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Elevance Health,1024662063,Anthem Workers Compensation,anthemwc.com,Prospect,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bHfAIAU,0,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Elevance Health,1024662065,UniCare,unicare.com,Prospect,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bHfFIAU,4,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Elevance Health,1024662280,Amerigroup,amerigroupcorp.com,Prospect,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bHWtIAM,106,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Elevance Health,1024662404,Anthem BCBS Maine (BCBS ME),,,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bHjHIAU,4,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
Elevance Health,1024662405,Anthem Blue Cross Blue Shield Missouri (BCBS),wellpoint.com,,,005V5000001gA77IAE,NO (not in Current Customers segment),001V5000006bHjMIAU,21,name search in Audiences,Elevance/Carelon/Wellpoint/Anthem/Amerigroup/Empire/Beacon/IngenioRx/UniCare + domain,Sep 11 2026 Audiences read (0 credits); no parent Elevance Health or Anthem Inc record exists in Audiences
