account,vertical_campaign,am_owner,candidates,cleared,held,pending_owner,emails_on_hand
Aetna,hc,unresolved (Savannah confirms),15,0,0,15,13
Assurant,ins,Inger Escamilla,1,0,0,1,0
Capita,bpo,unresolved (Savannah confirms),12,0,0,12,10
Cigna,hc,unresolved (Savannah confirms),14,0,0,14,12
DIRECTV,no_campaign,Inger Escamilla,1,0,0,1,0
Elevance Health,hc,unresolved (Savannah confirms),21,0,0,21,15
Foundever,bpo,unresolved (Savannah confirms),16,0,0,16,14
Goldman Sachs,fs,Inger Escamilla,27,0,0,27,20
Humana,hc,unresolved (Savannah confirms),18,0,0,18,14
JPMorgan,fs,unresolved (Savannah confirms),26,0,0,26,10
MetLife,ins,Inger Escamilla,19,0,0,19,17
Molina Healthcare,hc,unresolved (Savannah confirms),14,0,0,14,13
Prudential Financial,ins,Inger Escamilla,23,0,0,23,21
Synchrony Financial,fs,unresolved (Savannah confirms),20,0,0,20,18
Travelers,ins,Inger Escamilla,1,0,0,1,0
US Bancorp,fs,unresolved (Savannah confirms),24,0,0,24,21
UnitedHealthcare,hc,unresolved (Savannah confirms),14,0,0,14,11
Wells Fargo,fs,unresolved (Savannah confirms),24,0,0,24,18
