account,company_record_id,matched_name,domain,account_type,ownership,sfdc_owner_id,is_current_customer,sf_account_id,known_people_count_for_account,match_confidence,variants_tried,notes
Assurant,1024661777,Assurant Global Lifestyle,,,,005V500000GElNdIAL,UNKNOWN (Account Type blank),"001V5000006bHF4IAM,001V5000006bHbTIAU,001V5000006bHW1IAM",60,"low - name is fragmented across multiple SF accounts, none flagged Customer","Assurant; Assurant Global Lifestyle; Assurant Specialty Property; Assurant Solutions; American Bankers Life Assurance Company of Florida (found via a contact's Account ID, not name search)","No single clean 'Assurant' parent account in Audiences/SF. Three name-matched divisional accounts found by substring search, none tagged Account Type=Customer (types: None/Prospect/Prospect); Ownership mostly Prospect/Private. A 4th related legal entity (American Bankers Life Assurance Co of FL) surfaced only via a known contact's Account ID link, not via name search, and is also type=Prospect. SF Owner ID 005V500000GElNdIAL (the owner shared by 11 of the other 11 target accounts) matches on 'Assurant Global Lifestyle' only."
Assurant,1024662037,Assurant Specialty Property,http://www.assurantspecialtyproperty.com/,Prospect,Private,005V5000001gA6lIAE,NO,,,,,
Assurant,1024662263,Assurant Solutions,http://www.assurantsolutions.com,Prospect,,005V5000001gA6lIAE,NO,,,,,
Cleveland Clinic,1024662021,Cleveland Clinic,http://www.clevelandclinic.org,Customer,Private,005V500000GElNdIAL,YES,001V5000006bHWPIA2,88,high,Cleveland Clinic,Single exact match.
Cox Communications,1024661174,Cox Communications,http://www.cox.com,Customer,Private,005V500000GElNdIAL,YES,001V5000006b9JVIAY,621,high,Cox Communications,"Single exact match. (Note: 'Cox Automotive' and 'Cox Enterprises Inc' are separate Customer-type SF accounts under the same owner, not requested in scope, excluded.)"
DIRECTV,1024662245,DIRECTV,www.directv.com,Customer,,005V500000GElNdIAL,YES,001V5000006bHSVIA2,257,high,DIRECTV,Single exact match. Ownership field is blank on this record.
Guardian Life,1024662999,Guardian Life,www.guardianlife.com,Customer,Private,005V500000GElNdIAL,YES,001V5000006bHV7IAM,137,high,Guardian Life; Guardian Life Insurance Company of America,Single match under short name 'Guardian Life'; the longer legal-entity variant did not surface a separate record.
Goldman Sachs,1024663010,Goldman Sachs,http://www.gs.com,Customer,Private,005V500000GElNdIAL,YES,001V5000006bHWGIA2,236,high,Goldman Sachs,Single exact match.
McKesson,1024661946,McKesson Inc,www.mckesson.com,Prospect,,005V500000GElNdIAL,NO,"001V5000006bHVLIA2,001V5000006bHSHIA2,001V5000006bHSIIA2",417,"medium - name matched, but Account Type disagrees with 'customer' framing",McKesson; McKesson Inc; Mckesson - Canada,"Matched 'McKesson Inc' (US, owner matches Inger's ID) as primary; 'Mckesson - Canada' is a separate SF account under a different owner, excluded. Account Type on the matched record reads Prospect, not Customer -- flagged as a data-quality gap since it's on the requested customer list."
MetLife,1024661404,MetLife,http://www.metlife.com/,Customer,Private,005V500000GElNdIAL,YES,001V5000006bHBkIAM,615,high,MetLife; Met Life,Single exact match.
Prudential Financial,1024661413,Prudential Financial,www.prudential.com,Customer,Public,005V500000GElNdIAL,YES,001V5000006bHCSIA2,531,high,Prudential Financial; Prudential,"Matched 'Prudential Financial' (US, owner matches). 'Prudential (UK)' is a separate SF account under a different owner, excluded."
Rogers Communications,1024661974,Rogers Communications Canada,http://www.rogers.com,Customer,Private,005V500000GElNdIAL,YES,001V5000006b9JTIAY,541,high,Rogers Communications; Rogers Communications Canada,SF account is named 'Rogers Communications Canada' -- matched on substring.
Travelers,1024661376,The Travelers Companies,www.travelers.com,Customer,Private,005V500000GElNdIAL,YES,001V5000006bHBqIAM,345,high,Travelers; The Travelers Companies,SF account is named 'The Travelers Companies' -- matched on substring.
Zurich North America,1024661461,Zurich North America,www.zurichna.com,Prospect,,005V500000GElNdIAL,NO,001V5000006b60eIAA,61,"medium - name matched, but Account Type disagrees with 'customer' framing",Zurich North America; Zurich Insurance,"Matched exact-name 'Zurich North America'. A second related record 'Zurich Insurance Group' also exists (same owner, type=Prospect) and was not included. Account Type on the matched record reads Prospect, not Customer -- flagged as a data-quality gap."
