account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
BMO,Chris Francovich,Sr. Product Owner - VP,https://www.linkedin.com/in/chris-francovich-a1918573/,Senior Manager Indirect Product Delivery,BMO U.S.,2025-10,current,
BMO,Julie Petrie,VP-Sr Product Owner,https://www.linkedin.com/in/julie-petrie-6025866a/,VP-Sr Product Owner,BMO U.S.,2023-09,current,
BMO,Jacqueline M. Scydick,Senior Vice President First Mortgage Operations,https://www.linkedin.com/in/jmscydick/,Senior Vice President First Mortgage Operations,BMO U.S.,2016-12,current,
BMO,Paul Malik,Senior Vice President & Head Customer Loyalty | Operational Excellence | Colleague Success at BMO,https://www.linkedin.com/in/paulmalik/,Senior Vice President & Head Customer Loyalty | Operational Excellence | Colleague Success at BMO,BMO U.S.,2024-12,current,
BMO,Angelena Ellis,"Manager III -PM Indirect RVM Lending Operations, VP at BMO",https://www.linkedin.com/in/angelena-ellis-3ba70240/,"Manager III -PM Indirect RVM Lending Operations, VP at BMO",BMO U.S.,2023-02,current,
BMO,Mark Cashion,Vice President Securities Operations,https://www.linkedin.com/in/mark-cashion-85a749a8/,Vice President Securities Operations,BMO U.S.,1997-11,current,
BMO,"Mandy Ramlow, MBA, CAMS",U.S. Chief Anti-Money Laundering Officer,https://www.linkedin.com/in/mandy-ramlow-mba-cams-45915133/,U.S. Chief Anti-Money Laundering Officer,BMO U.S.,2023-12,current,
BMO,Norman Cutler,"V.P., US Controller and Chief Accounting Officer",https://www.linkedin.com/in/norman-cutler-576888/,"V.P., US Controller and Chief Accounting Officer",BMO U.S.,2025-01,current,
BMO,Brandi Allen,"Managing Director, Operations Leader Transportation Finance & Vendor Finance",https://www.linkedin.com/in/brandi-allen-15a379b8/,"Managing Director, Operations Leader Transportation Finance & Vendor Finance",BMO U.S.,2021-06,current,
BMO,Léna Harmandjian,Vice President and Regional Operations Manager,https://www.linkedin.com/in/l%2525c3%2525a9na-harmandjian-48678a95/,Vice President and Regional Operations Manager,BMO U.S.,1994-05,current,
BMO,John Krzyzaniak,"AVP, Trust Operations Manager",https://www.linkedin.com/in/john-krzyzaniak-28609126/,"VP, CSOP, Securities Operations Senior Manager, FIS Wealth Outsourcing Services",FIS,2020-07,left,FIS
BMO,Dave Truffelli,"VP, Mortgage Operations Manager",https://www.linkedin.com/in/dave-truffelli-33a08746/,"VP, Mortgage Operations Manager",BMO U.S.,2012-04,current,
