account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
BMO,"Dave Abplanalp, CPA",Senior Vice President/COO @ Equipment Finance,https://www.linkedin.com/in/dave-abplanalp-cpa-3a36b511/,Senior Vice President/COO @ Equipment Finance,BMO Commercial Bank,2011-11,current,Apollo round E
BMO,Gillian Noble,"VP, Chief Operating Officer",https://www.linkedin.com/in/gillian-noble-b1161b48/,"VP, Chief Operating Officer",BMO Insurance,2023-11,current,"VP & COO, BMO Insurance; Apollo round E"
BMO,Amit Gandhi,"Managing Director & Global Head, Fixed Income and Prime Finance Operations",https://www.linkedin.com/in/amit-gandhi-87824a121/,Professor,Fleming College,2023-09,left,Fleming College; Apollo round E
BMO,Kim Shllaku,Regional Head of Operations,https://www.linkedin.com/in/kim-shllaku-25944817a/,Regional Head of Operations,BMO Private Wealth,2025-10,current,Apollo round E
BMO,Meghan Kostka,Regional Head of Operations - GTA,https://www.linkedin.com/in/meghan-kostka-01304419b/,Regional Head of Operations-GTA,BMO Private Wealth,2023-11,current,Apollo round E
BMO,Kelsey Martens,"Regional Head of Operations, West",https://www.linkedin.com/in/kelsey-martens-01426849/,"Regional Head of Operations, West",BMO Private Wealth,2021-11,current,Apollo round E
BMO,Colleen O'Dwyer,AVP - Consumer Lending Operations,https://www.linkedin.com/in/colleen-o-dwyer-aaab6362/,Mortgage Loan Processor,Bell Bank Mortgage,2021-04,left,Bell Bank Mortgage; Apollo round E
BMO,Jennifer Spitz,Assistant Vice President - Deposit & Payment Operations Project Delivery,https://www.linkedin.com/in/jen-spitz/,Founder & CEO,Awayuki LLC.,2024-05,left,Awayuki; Apollo round E
BMO,Robin Neal,"Investment Operations, Asst Vice President",https://www.linkedin.com/in/robin-neal-35b7539a/,Senior Supplier Relationship Manager,BMO Harris Bank NA,2017-11,current,Apollo round E
Canada Life,Colleen Duggan,Head of Claims Management,https://www.linkedin.com/in/colleen-duggan-8986a416/,Head of Claims Management,Canada Life UK,2025-09,current,UK; Apollo round E
Canada Life,Brad Fedorchuk,"Executive Vice President, Group Customer",https://www.linkedin.com/in/brad-fedorchuk-08a1857/,Executive (freelance),Freelance,2025-06,left,left Canada Life June 2025 per Apollo employment history; Apollo round E
Telus,Steve Fast,"Vice President, Operational Excellence & Integration",https://www.linkedin.com/in/steve-fast-8a24914/,"Vice President, Operational Excellence & Integration",TELUS Health,2025-03,current,Apollo round E
Telus,Steve Baker,Chief Operating Officer,https://www.linkedin.com/in/stevebaker1010/,Senior Solutions Sales Executive,Ricoh Canada Inc.,2021-06,left,Ricoh Canada; Apollo round E
Bell Canada,Karen Nelson Shokar,"Associate Director, Roaming Billing Operations",https://www.linkedin.com/in/karen-nelson-shokar-56535966/,"Associate Director, Roaming Billing Operations",Bell,,current,Apollo round E
Bell Canada,Joe Montano,Associate Director Operations FIBETV,https://www.linkedin.com/in/joe-montano-8286436/,Associate Director Operations Fibetv,Bell,2011-04,current,Apollo round E
Bell Canada,Glen Saunders,Director - Operations,https://www.linkedin.com/in/glen-saunders-2a795115/,Semi Retired,Independent,2017-05,left,retired from Bell 2016; Apollo round E
Bell Canada,Sam Voorberg PMP,Director Operations Support,https://www.linkedin.com/in/sam-voorberg-pmp-2949987/,Senior Program Manager (Contractor),TELUS,2011-08,left,semi retired; contractor at TELUS; Apollo round E
Bell Canada,Joan Lusch,"Associate Director, Operations & Project Delivery",https://www.linkedin.com/in/joan-lusch-5226604a/,"Associate Director, Project Operations",Bell Canada,2011-01,current,Apollo round E
Bell Canada,John Schembri,Region Operations Director,https://www.linkedin.com/in/john-schembri-9b38a29/,Region Operations Director,Bell Canada,,current,Apollo round E
Bell Canada,Julie Lamontagne,Director of operations,https://www.linkedin.com/in/julie-lamontagne-1b696b28/,Director of Operations,Bell Canada,,current,Apollo round E
