account,full_name,title
BMO,Alan Docherty,"Director, Treasury & Payment Solutions, Global Transaction Banking"
BMO,Angelica Alex,"Director, Treasury and Payments"
BMO,Jason Graves,Director - Treasury & Payment Solutions - Global Transaction Banking
BMO,"Ali Lakhani, CFA",Director & Product Owner
BMO,"Dave Abplanalp, CPA",Senior Vice President/COO @ Equipment Finance
BMO,Doug Sibley (松俊江),"Managing Director, Global Head of Know Your Client, Client Onboarding, and Client Operations"
BMO,Henry Wu,"Associate Director - Trade Data, CM Application Service Delivery"
BMO,"Laura Young, Esq.","Director, Global KYC Outsourcing & Processes"
BMO,Eli Laxmeter,Vice President Operations Technology
BMO,Robin Neal,"Investment Operations, Asst Vice President"
BMO,Annie Ling,Chief Operating Officer
BMO,"Christina Blackman, PMP® Prosci®PRINCE2®","VP, Chief Operating Office"
BMO,Gillian Noble,"VP, Chief Operating Officer"
Bell Canada,Kelsey McEwen,"Chief Meteorologist, Co-Host of CTV Your Morning"
Bell Canada,Rob Vendetti,President at MiMobile Wireless
Bell Canada,Carla Dos Santos,Senior Vice President Operations
Bell Canada,Jennifer Dell,Vice President Operations
Bell Canada,Karen Nelson Shokar,"Associate Director, Roaming Billing Operations"
Bell Canada,Rachel D’Souza,Director Business Operations
Canada Life,Ciara Mullarkey,Chief Financial Officer
Canada Life,Jon Nielsen,Executive Vice President and Chief Financial Officer
Canada Life,Derek Popkes,Global Chief Operating Officer
Canada Life,Brent Kerslake,"Senior Vice-President, Group Operations"
Canada Life,Michael Jones,"Vice-President, Group Life and Disability Claims"
Canada Life,Colleen Duggan,Head of Claims Management
Canada Life,Rose St Louis,Chief Customer Officer
Canada Life,Sarah Parkinson,Chief Operating Officer
Canada Life,Brad Fedorchuk,"Executive Vice President, Group Customer"
Telus,Alice IATRIDES,Chief Operating Officer
Telus,Scott Gaudet,Vice President Operations
Telus,Danny Hannigan,Director of Business Operations
Telus,Helene Savage,"Senior Director, Operations Leader - Retirement and Benefit Solutions"
Telus,Steve Fast,"Vice President, Operational Excellence & Integration"
Telus,Susan Wooldridge,Executive Director - Mental Health Workforce Benefit Products
Telus,Whitney Forsyth,"Sr. Director of Service Delivery, ADM"
Telus,Curtis Platt,Co-Founder & Chief Operating Officer
Telus,Lars Koop,Chief Operations Officer
BMO,Pete Andrews,Chief Operating Officer
BMO,"Greg Walker,CFA",Chief Operating Officer
BMO,Douglas Porter,Chief Economist
BMO,Amit Gandhi,"Managing Director & Global Head, Fixed Income and Prime Finance Operations"
BMO,Scott Anderson,Managing Director/ Chief U.S. Economist
Bell Canada,Joe Montano,Associate Director Operations FIBETV
Bell Canada,Glen Saunders,Director - Operations
Bell Canada,Sam Voorberg PMP,Director Operations Support
Bell Canada,Joan Lusch,"Associate Director, Operations & Project Delivery"
Bell Canada,John Schembri,Region Operations Director
Bell Canada,Ryan Hart,Technical Director/Operations Floater
Bell Canada,Julie Lamontagne,Director of operations
Bell Canada,Emilie Zaloum,"Director, Business Process Consulting"
Bell Canada,Linda Castelletti,Corporate Business Process Improvement Director
Bell Canada,Stephanie Bell,"Director, Business Process at Bell Canada"
Bell Canada,Patrizia Baruffa,Service Delivery Director
Canada Life,Nick Harding,Chief People Officer
Canada Life,Philip O Neill,Chief Financial Officer
Canada Life,Louise Lombard,Chief People Officer
Canada Life,Maria Nicholls,Chief Financial Officer
Canada Life,Trish Gehlen Preston,Chief Financial Officer
Canada Life,Iain Caskie,Chief Financial Officer
Canada Life,Lisa Blackhall,Operations Director
Telus,Pamela Snively,Chief Data & Trust Officer
Telus,Steve Baker,Chief Operating Officer
Telus,Gina Natale,"Executive Director, US Operations"
Telus,Manuel Sack,Chief Design Officer @TELUS Health Engage
Telus,POOJA ARORA,Category Manager - Chief Procurement Office (CPO)
