account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
Centene,Michael Grover,Chief Operating Officer - Centene Dental and Vision,https://www.linkedin.com/in/michael-grover-652b3b73/,Chief Operating Officer - Centene Dental and Vision,Centene Corporation,2016-03,current,
Centene,Rayshawn Clay,Chief Operating Officer Health Plan,https://www.linkedin.com/in/rayshawn-clay-mba-cpc-4b99234/,Chief Operating Officer Health Plan,Centene Corporation,2024-10,current,
Centene,Sherilyn (Spiller) Fahlstrom,"Chief Operating Officer, Sunflower Health Plan",https://www.linkedin.com/in/sherilynfahlstrom/,"Chief Operating Officer, Sunflower Health Plan",Centene Corporation,2023-02,current,
Centene,Terry Weathers,Chief Financial Officer,https://www.linkedin.com/in/terrylweathers/,Chief Financial Officer,Centene Corporation,2012,current,
Centene,William Kruegel,Chief Operating Officer - Sunshine Health,https://www.linkedin.com/in/william-kruegel-b7641a19/,Chief Operating Officer - Sunshine Health,Centene Corporation,2020-11,current,
Centene,Cathie Krueger,VP of Utilization Management,https://www.linkedin.com/in/cathie-krueger-b4110830/,VP of Utilization Management,Centene Corporation,2019-09,current,
Centene,Corina B.,Vice President Utilization Management,https://www.linkedin.com/in/corina-b-2a86a4223/,Vice President Utilization Management,Centene Corporation,2022-07,current,
Centene,Kim Newton,"Vice President, Clinical Operations",https://www.linkedin.com/in/kim-newton-260764127/,"Vice President, Clinical Operations",Centene Corporation,2020-07,current,
Centene,Kristine (Krissy) Ziegler,"Vice President, Clinical Operations",https://www.linkedin.com/in/kristine-krissy-ziegler-0672914/,"Vice President, Clinical Operations",Centene Corporation,2019-05,current,
Centene,"Laura Sulak Futo MA, LPC","Vice President, Clinical Operations",https://www.linkedin.com/in/laura-sulak-ma-lpc-b5913031/,"Vice President, Clinical Operations",Centene Corporation,2026-01,current,
Centene,Mika Runyan,Vice President Payment Integrity,https://www.linkedin.com/in/mika-runyan-01456a19b/,Vice President Payment Integrity,Centene Corporation,2025-11,current,
Centene,Agnes P.,Vice President Operations,https://www.linkedin.com/in/agnes-ponce/,Vice President Operations,Centene Corporation,2022-07,current,
Centene,Amanda Crannell,"Director, Utilization Management",https://www.linkedin.com/in/amanda-crannell-350926206/,"Director, Utilization Management",Centene Corporation,2026-01,current,
Centene,Chad Hosegood,Director of WFM - Claims,https://www.linkedin.com/in/chadhosegood/,Director of WFM - Claims,Centene Corporation,2025-12,current,
Centene,Connie Clem,"Director, Payment Integrity",https://www.linkedin.com/in/connie-clem-bb1752105/,"Director, Payment Integrity",Centene Corporation,2023-12,current,
Centene,Corey Shaw,"Senior Director, Claims Experience",https://www.linkedin.com/in/corey-shaw-b53821a/,"Senior Director, Claims Experience",Centene Corporation,2026-04,current,
Centene,Cortney Jones,Senior Director Clinical Operations,https://www.linkedin.com/in/cortney-jones-4b7654117/,Senior Director Clinical Operations,Centene Corporation,2025-04,current,
Centene,Cory Dial,Director of Operations (Medicare Operations & Implementations),https://www.linkedin.com/in/cory-dial-7b809652/,Director of Operations (Medicare Operations & Implementations),Centene Corporation,2022-06,current,
Fidelity Investments,Mary Relihan,SVP Head of Fund Operations,https://www.linkedin.com/in/mary-relihan-22380b45/,SVP Head of Fund Operations,Fidelity Investments,2020-09,current,
Fidelity Investments,Lisa Barnum-Williams,Senior Vice President Operations,https://www.linkedin.com/in/lisa-barnum-williams-85252b15b/,Senior Vice President Operations,Fidelity Investments,1987-03,current,
Fidelity Investments,Michelle Bowen,Senior Vice President and COO,https://www.linkedin.com/in/michelle-bowen-502aba3/,Senior Vice President,FIS,1989,left,"New company: FIS (Jacksonville). Only profile returned for this name; may be a different Michelle Bowen, verify"
Fidelity Investments,Amy Malatesta,"Vice President, Client Service Operations",https://www.linkedin.com/in/amy-malatesta-8303446a/,"Vice President, Client Service Operations",Fidelity Investments,2023-02,current,
Fidelity Investments,Annie Wong,Head of Fund Operations,https://www.linkedin.com/in/annie-wong-5334a271/,Head of Fund Operations,Fidelity Investments,2022-09,current,
