Account Name,Website,Type,TAM,Account Owner
State Employees Credit Union (SECU),www.ncsecu.org,Prospect,Target Market Account,Keegan Sanders
Corpay (formerly FLEETCOR),www.fleetcor.com,Prospect,Target Market Account,Keegan Sanders
City National Bank,www.cnb.com,,Not a fit,Keegan Sanders
"Arvest Bank Group, Inc.",www.arvest.com,Prospect,Target Market Account,Keegan Sanders
HD Supply,www.hdsupply.com,Prospect,Target Market Account,Keegan Sanders
DSW Inc.,dswinc.com,Prospect,Target Market Account,Keegan Sanders
Alaska Airlines,www.alaskaair.com,Prospect,Target Market Account,Keegan Sanders
Intact Insurance,www.intact.ca,Prospect,Target Market Account,Keegan Sanders
U-Haul,www.uhaul.com,Prospect,Target Market Account,Keegan Sanders
Fidelity Investments Canada ULC,www.fidelity.ca,Prospect,Target Market Account,Keegan Sanders
Allstate Insurance (CAN),www.allstate.ca,Prospect,Target Market Account,Keegan Sanders
Flagship Credit Acceptance,www.flagshipcredit.com,Prospect,Target Market Account,Keegan Sanders
Toast Inc,pos.toasttab.com,Prospect,Target Market Account,Keegan Sanders
Hulu,www.hulu.com,Prospect,Target Market Account,Keegan Sanders
Royal Bank of Canada (RBC),http://www.rbc.com,Customer,Target Market Account,Keegan Sanders
Fifth Third Bancorp,www.53.com,Prospect,Target Market Account,Keegan Sanders
Zions Bancorporation,www.zionsbank.com,Prospect,Target Market Account,Keegan Sanders
USAA,www.usaa.com,Prospect,Target Market Account,Keegan Sanders
Fidelity Investments,www.fidelity.com,Prospect,Target Market Account,Keegan Sanders
Hilton Reservations Worldwide,www.hilton.com,Prospect,Target Market Account,Keegan Sanders
TSYS,www.tsys.com,Prospect,Target Market Account,Keegan Sanders
Coca-Cola (Coke),www.coca-colacompany.com,Prospect,Target Market Account,Keegan Sanders
Wyndham Hotels & Resorts,www.wyndhamhotels.com,Prospect,Target Market Account,Keegan Sanders
"Toyota Motor Sales, U.S.A., Inc.",www.toyota.com,Prospect,Target Market Account,Keegan Sanders
New York Life Insurance Company,www.newyorklife.com,Prospect,Target Market Account,Keegan Sanders
Ceridian,www.ceridian.com,Prospect,Target Market Account,Keegan Sanders
Walmart,corporate.walmart.com,Prospect,Target Market Account,Keegan Sanders
Republic Services,www.republicservices.com,Prospect,Target Market Account,Keegan Sanders
H&R Block,www.hrblock.com,Prospect,Target Market Account,Keegan Sanders
Lincoln Financial Group,www.lincolnfinancial.com,Prospect,Target Market Account,Keegan Sanders
TruGreen,www.trugreen.com,Prospect,Target Market Account,Keegan Sanders
University Hospitals,www.uhhospitals.org,Prospect,Target Market Account,Keegan Sanders
Chime,www.chime.com,Prospect,Target Market Account,Keegan Sanders
Auto Club Group,https://www.acg.aaa.com/,Prospect,Target Market Account,Keegan Sanders
Massachusetts Mutual Life Insurance Company (MassMutual),www.massmutual.com,Prospect,Target Market Account,Keegan Sanders
Cardinal Health,www.cardinalhealth.com,Prospect,Target Market Account,Keegan Sanders
Best Buy,www.bestbuy.com,Prospect,Target Market Account,Keegan Sanders
Allstate Corporation,www.allstate.com,Prospect,Target Market Account,Keegan Sanders
The Hartford Financial Services Group,www.thehartford.com,Prospect,Target Market Account,Keegan Sanders
Florida Power & Light Company,www.fpl.com,Prospect,Target Market Account,Keegan Sanders
Duke Energy,www.duke-energy.com,Prospect,Target Market Account,Keegan Sanders
The Vanguard Group,investor.vanguard.com,Prospect,Target Market Account,Keegan Sanders
AAA - National HQ,www.acg.aaa.com,Prospect,Target Market Account,Keegan Sanders
FedEx,www.fedex.com,Prospect,Target Market Account,Keegan Sanders
Dell EMC Corp,www.emc.com,Prospect,Target Market Account,Keegan Sanders
Nationwide Mutual Insurance Company,www.nationwide.com,Prospect,Target Market Account,Keegan Sanders
Progressive Insurance,www.progressive.com,Prospect,Target Market Account,Keegan Sanders
GE Appliances,www.geappliances.com,Prospect,Target Market Account,Keegan Sanders
Toyota Motor Corporation,http://www.toyota.co.jp,Prospect,Target Market Account,Keegan Sanders
Citizens Bank,www.citizensbank.com,Prospect,Target Market Account,Keegan Sanders
TIAA-CREF,www.tiaa.org,Customer,Target Market Account,Keegan Sanders
Philips,www.philips.com,Prospect,Target Market Account,Keegan Sanders
Lexmark International,www.lexmark.com,Prospect,Target Market Account,Keegan Sanders
Sedgwick,www.sedgwick.com,Prospect,Target Market Account,Keegan Sanders
"Teco Energy, Inc.",www.tecoenergy.com,Prospect,Target Market Account,Keegan Sanders
Transamerica Corp,www.transamerica.com,Prospect,Target Market Account,Keegan Sanders
Sam's Club,www.samsclub.com,Prospect,Target Market Account,Keegan Sanders
Edward Jones,www.edwardjones.com,Customer,Target Market Account,Keegan Sanders
Johnson Controls,www.johnsoncontrols.com,Prospect,Target Market Account,Keegan Sanders
Agero,www.agero.com,Prospect,Target Market Account,Keegan Sanders
Nationwide Pet Insurance,www.petinsurance.com,Prospect,Target Market Account,Keegan Sanders
Credit Acceptance,www.creditacceptance.com,Prospect,Target Market Account,Keegan Sanders
JetBlue Airways,www.jetblue.com,Prospect,Target Market Account,Keegan Sanders
Bread Financial,www.breadfinancial.com,Prospect,Target Market Account,Keegan Sanders
Hertz Car Rental,www.hertz.com,Prospect,Target Market Account,Keegan Sanders
Fiserv,www.fiserv.com,Prospect,Target Market Account,Keegan Sanders
Walmart Canada,www.walmart.ca,Prospect,Target Market Account,Keegan Sanders
National General Insurance Company,www.nationalgeneral.com,Prospect,Target Market Account,Keegan Sanders
Tampa Electric Company,www.tampaelectric.com,Prospect,Target Market Account,Keegan Sanders
Consumer Cellular,www.consumercellular.com,Prospect,Target Market Account,Keegan Sanders
CardWorks Inc,www.cardworks.com,Prospect,Target Market Account,Keegan Sanders
The Priceline Group,www.bookingholdings.com,Prospect,Target Market Account,Keegan Sanders
Hayneedle.com,www.hayneedle.com,Prospect,Target Market Account,Keegan Sanders
Publix Super Markets Inc.,www.publix.com,Prospect,Target Market Account,Keegan Sanders
Cogeco,www.cogeco.ca,Prospect,Target Market Account,Keegan Sanders
Insurance Corporation of British Columbia (ICBC),www.icbc.com,Prospect,Target Market Account,Keegan Sanders
General Electric,www.ge.com,Prospect,Target Market Account,Keegan Sanders
Kaplan Higher Education,www.kaplan.com,Prospect,Target Market Account,Keegan Sanders
Thomas Jefferson University Hospital,www.jefferson.edu,Prospect,Target Market Account,Keegan Sanders
Best Buy Canada Ltd,www.bestbuy.ca,Prospect,Target Market Account,Keegan Sanders
AAA Northeast,northeast.aaa.com,Prospect,Target Market Account,Keegan Sanders
Love's Travel Stops,www.loves.com,Prospect,Target Market Account,Keegan Sanders
Piedmont Healthcare Incorporated,www.piedmont.org,Prospect,Target Market Account,Keegan Sanders
Fairview Health Services,www.fairview.org,Prospect,Target Market Account,Keegan Sanders
The Bank of New York Mellon,www.bnymellon.com,Prospect,Target Market Account,Keegan Sanders
M&T Bank Corporation,www3.mtb.com,Prospect,Target Market Account,Keegan Sanders
SimpliSafe,www.simplisafe.com,Prospect,Target Market Account,Keegan Sanders
Wyndham Destinations,www.wyndhamdestinations.com,Prospect,Target Market Account,Keegan Sanders
"Allergan, Inc.",www.allergan.com,Prospect,Target Market Account,Keegan Sanders
Hilton Grand Vacations Company,www.hiltongrandvacations.com,Prospect,Target Market Account,Keegan Sanders
Jewelry TV,www.jtv.com,Prospect,Target Market Account,Keegan Sanders
Haier,www.haier.com,Prospect,Target Market Account,Keegan Sanders
Ontario Power Generation,opg.com,,,Keegan Sanders
Lincoln National Corporation,,,,Keegan Sanders
Instacart,,Prospect,Target Market Account,Keegan Sanders
JetBlue Airlines,,,,Keegan Sanders
Stamford Health,stamfordhealth.org,Prospect,,Keegan Sanders
Coinbase,coinbase.com,,,Keegan Sanders
Gusto,gusto.com,,,Keegan Sanders
Ashley Furniture Industries,ashleyfurnitureindustriesllc.com,Prospect,Target Market Account,Keegan Sanders
RBC Insurance,rbcinsurance.com,Prospect,Target Market Account,Keegan Sanders
BARK,bark.co,,,Keegan Sanders
Rover,rover.com,,,Keegan Sanders
