account,website,status,parent_group,note
State Employees Credit Union (SECU),www.ncsecu.org,watch,,
Corpay (formerly FLEETCOR),www.fleetcor.com,watch,,
City National Bank,www.cnb.com,not-fit-excluded,,marked Not a fit in source
"Arvest Bank Group, Inc.",www.arvest.com,watch,,
HD Supply,www.hdsupply.com,watch,,
DSW Inc.,dswinc.com,watch,,
Alaska Airlines,www.alaskaair.com,watch,,
Intact Insurance,www.intact.ca,watch,,
U-Haul,www.uhaul.com,watch,,
Fidelity Investments Canada ULC,www.fidelity.ca,watch,Fidelity,
Allstate Insurance (CAN),www.allstate.ca,watch,Allstate,
Flagship Credit Acceptance,www.flagshipcredit.com,watch,,
Toast Inc,pos.toasttab.com,watch,,
Hulu,www.hulu.com,watch,,
Royal Bank of Canada (RBC),http://www.rbc.com,customer-excluded,RBC,"current customer; install-base/signal-engine lane only, never cold outreach"
Fifth Third Bancorp,www.53.com,watch,,
Zions Bancorporation,www.zionsbank.com,watch,,
USAA,www.usaa.com,watch,,
Fidelity Investments,www.fidelity.com,watch,Fidelity,
Hilton Reservations Worldwide,www.hilton.com,watch,Hilton,
TSYS,www.tsys.com,watch,,
Coca-Cola (Coke),www.coca-colacompany.com,watch,,
Wyndham Hotels & Resorts,www.wyndhamhotels.com,watch,Wyndham,
"Toyota Motor Sales, U.S.A., Inc.",www.toyota.com,watch,Toyota,
New York Life Insurance Company,www.newyorklife.com,watch,,
Ceridian,www.ceridian.com,watch,,
Walmart,corporate.walmart.com,watch,Walmart,
Republic Services,www.republicservices.com,watch,,
H&R Block,www.hrblock.com,watch,,
Lincoln Financial Group,www.lincolnfinancial.com,watch,Lincoln Financial,
TruGreen,www.trugreen.com,watch,,
University Hospitals,www.uhhospitals.org,watch,,
Chime,www.chime.com,watch,,
Auto Club Group,https://www.acg.aaa.com/,watch,AAA,
Massachusetts Mutual Life Insurance Company (MassMutual),www.massmutual.com,watch,,
Cardinal Health,www.cardinalhealth.com,watch,,cost-mandate strike room built Jul 15 (Nate motion); coordinate before new outreach
Best Buy,www.bestbuy.com,watch,Best Buy,
Allstate Corporation,www.allstate.com,watch,Allstate,
The Hartford Financial Services Group,www.thehartford.com,watch,,
Florida Power & Light Company,www.fpl.com,watch,NextEra,
Duke Energy,www.duke-energy.com,watch,Duke Energy,
The Vanguard Group,investor.vanguard.com,watch,,
AAA - National HQ,www.acg.aaa.com,watch,AAA,
FedEx,www.fedex.com,watch,,
Dell EMC Corp,www.emc.com,watch,,
Nationwide Mutual Insurance Company,www.nationwide.com,watch,Nationwide,
Progressive Insurance,www.progressive.com,watch,,
GE Appliances,www.geappliances.com,watch,GE (Haier-owned),
Toyota Motor Corporation,http://www.toyota.co.jp,watch,Toyota,
Citizens Bank,www.citizensbank.com,watch,,
TIAA-CREF,www.tiaa.org,customer-excluded,,"current customer; install-base/signal-engine lane only, never cold outreach"
Philips,www.philips.com,watch,,
Lexmark International,www.lexmark.com,watch,,
Sedgwick,www.sedgwick.com,watch,,
"Teco Energy, Inc.",www.tecoenergy.com,watch,TECO/Emera,
Transamerica Corp,www.transamerica.com,watch,,
Sam's Club,www.samsclub.com,watch,Walmart,
Edward Jones,www.edwardjones.com,customer-excluded,,"current customer; install-base/signal-engine lane only, never cold outreach"
Johnson Controls,www.johnsoncontrols.com,watch,,
Agero,www.agero.com,watch,,
Nationwide Pet Insurance,www.petinsurance.com,watch,Nationwide,
Credit Acceptance,www.creditacceptance.com,watch,,
JetBlue Airways,www.jetblue.com,watch,JetBlue,
Bread Financial,www.breadfinancial.com,watch,,
Hertz Car Rental,www.hertz.com,watch,,
Fiserv,www.fiserv.com,watch,,
Walmart Canada,www.walmart.ca,watch,Walmart,
National General Insurance Company,www.nationalgeneral.com,watch,Allstate,
Tampa Electric Company,www.tampaelectric.com,watch,TECO/Emera,
Consumer Cellular,www.consumercellular.com,watch,,
CardWorks Inc,www.cardworks.com,watch,,
The Priceline Group,www.bookingholdings.com,watch,,
Hayneedle.com,www.hayneedle.com,watch,,
Publix Super Markets Inc.,www.publix.com,watch,,
Cogeco,www.cogeco.ca,watch,,
Insurance Corporation of British Columbia (ICBC),www.icbc.com,watch,,
General Electric,www.ge.com,watch,GE,
Kaplan Higher Education,www.kaplan.com,watch,,
Thomas Jefferson University Hospital,www.jefferson.edu,stars-overlap,,"parent Thomas Jefferson University is in the Stars universe; Stars routing wins, coordinate before any Keegan touch"
Best Buy Canada Ltd,www.bestbuy.ca,watch,Best Buy,
AAA Northeast,northeast.aaa.com,watch,AAA,
Love's Travel Stops,www.loves.com,watch,,
Piedmont Healthcare Incorporated,www.piedmont.org,watch,,
Fairview Health Services,www.fairview.org,watch,,
The Bank of New York Mellon,www.bnymellon.com,watch,,
M&T Bank Corporation,www3.mtb.com,watch,,
SimpliSafe,www.simplisafe.com,watch,,
Wyndham Destinations,www.wyndhamdestinations.com,watch,Wyndham,
"Allergan, Inc.",www.allergan.com,watch,,
Hilton Grand Vacations Company,www.hiltongrandvacations.com,watch,Hilton,
Jewelry TV,www.jtv.com,watch,,
Haier,www.haier.com,watch,GE (Haier-owned),
Ontario Power Generation,opg.com,watch-unclassified,,no Type/TAM in source; watch but confirm fit with Keegan
Lincoln National Corporation,,watch-unclassified,Lincoln Financial,no Type/TAM in source; watch but confirm fit with Keegan
Instacart,,watch,,
JetBlue Airlines,,watch-unclassified,JetBlue,no Type/TAM in source; watch but confirm fit with Keegan
Stamford Health,stamfordhealth.org,watch,,
Coinbase,coinbase.com,watch-unclassified,,no Type/TAM in source; watch but confirm fit with Keegan
Gusto,gusto.com,watch-unclassified,,no Type/TAM in source; watch but confirm fit with Keegan
Ashley Furniture Industries,ashleyfurnitureindustriesllc.com,watch,,
RBC Insurance,rbcinsurance.com,needs-ruling,RBC,subsidiary of customer RBC; hold from cold outreach until Keegan/AM rules on it
BARK,bark.co,watch-unclassified,,no Type/TAM in source; watch but confirm fit with Keegan
Rover,rover.com,watch-unclassified,,no Type/TAM in source; watch but confirm fit with Keegan
