company,domain,industry,acd_last_seen,wfm_latest,all_platforms,sfdc_owner_id
Aware Super,aware.com.au,Banking,2026-04-16,,"Amazon Connect (2024-02-08), Genesys Cloud (2026-04-16)",005V500000EvcGbIAJ
Clear2Pay NV SA,fisglobal.com,Banking,2026-05-14,,"Amazon Connect (2024-07-30), Avaya Call Management System (2024-04-16), Genesys (2026-05-14), Genesys Cloud (2026-05-14)",005V5000001gBKBIA2
Frost Bank,frostbank.com,Banking,2025-09-09,Verint,"Avaya (2025-07-15), Avaya Experience Portal (2024-10-16), Genesys (2025-09-09), Genesys Cloud (2025-07-15), Genesys Cloud CX (2025-07-15), Verint Workforce Management (2022-02-23)",005V5000001gBKBIA2
Huntington National Bank,huntington.com,Banking,2026-02-22,,"Genesys (2026-02-22), Genesys Cloud (2025-06-22)",005V5000001gAGQIA2
Intrum,intrum.com,Banking,2026-08-24,,"Genesys (2026-08-24), Genesys Cloud (2026-08-24), Genesys Cloud CX (2026-08-24)",005V5000001gBKBIA2
M&T Bank Corporation,mtb.com,Banking,2026-08-06,,"Genesys Cloud (2026-08-06), Genesys Cloud CX (2026-08-06)",005V5000001gAGSIA2
OP Financial Group,op.fi,Banking,2026-03-30,,"Genesys (2026-03-30), Genesys Cloud (2026-03-30)",005V5000001gBKBIA2
Rabobank,rabobank.com,Banking,2026-01-21,,"Genesys (2026-01-21), Genesys Cloud (2026-01-21)",005V5000002ZZTFIA4
VyStar Credit Union,vystarcu.org,Banking,2026-05-19,,"Avaya (2025-11-22), Avaya Call Management System (2024-06-25), Genesys (2026-05-19), Genesys Cloud (2026-05-19)",005V5000006tDZ3IAM
Automated Health Systems (AHS),automated-health.com,Business Services,2026-08-06,Calabrio,"Calabrio (2024-11-23), Five9 (2026-06-29), Genesys (2026-08-06), Genesys Cloud (2026-08-06), NICE inContact (2022-09-30)",005V5000003n4QZIAY
Computacenter plc,computacenter.com,Business Services,2026-09-02,,"Five9 (2022-10-20), Genesys Cloud (2026-09-02), Genesys Cloud CX (2026-08-17)",005V5000002ZZTFIA4
Dell,dell.com,Business Services,2025-12-21,,"Genesys (2025-12-21), Genesys Cloud (2025-12-21), Genesys Cloud CX (2025-12-21)",005V5000001gAGTIA2
Ebay Ventures,ebayinc.com,Business Services,2026-08-26,Aspect,"Alvaria (2024-11-22), Avaya (2022-07-26), Genesys Cloud (2026-08-26), Genesys Cloud CX (2026-08-21)",005V5000001gAGTIA2
HelloFresh USA,hellofresh.com,Business Services,2026-03-06,Aspect,"Alvaria (2024-11-24), Genesys Cloud (2026-03-06)",005V5000006tDZ3IAM
SimpliSafe,simplisafe.com,Business Services,2025-09-17,NICE,"Avaya (2025-08-23), Five9 (2025-06-08), Genesys (2025-09-17), Genesys Cloud (2025-08-27), Genesys Cloud CX (2025-08-27), Nice Workforce Management (2025-08-27)",005V5000001gAGSIA2
Teleperformance UK,teleperformance.com,Business Services,2026-03-25,Calabrio,"Alvaria (2025-03-10), Amazon Connect (2025-02-24), Avaya (2025-03-10), Calabrio (2025-03-10), Genesys (2026-03-25), Genesys Cloud (2025-04-09), Genesys Cloud CX (2026-03-12), NICE CXone (2024-10-21)",005V5000002ZZTFIA4
Vattenfall,vattenfall.com,Business Services,2026-05-07,,"Amazon Connect (2024-08-12), Avaya (2024-03-24), Genesys Cloud (2026-05-07)",005V5000001gBKBIA2
Wolters Kluwer,wolterskluwer.com,Business Services,2026-03-10,,Genesys Cloud (2026-03-10),005V5000001gAGQIA2
Zurich North America,zurichna.com,Business Services,2026-03-09,,"Genesys (2026-03-09), Genesys Cloud (2025-11-14)",005V500000GElNdIAL
Pitney Bowes,pitneybowes.com,Custom Software & IT Services,2026-09-04,,"Avaya (2023-10-21), Genesys (2026-09-04), Genesys Cloud (2025-09-01), RingCentral (2026-05-27)",005V5000001gAGPIA2
ATB Financial,atb.com,Div Financial Services,2026-05-26,,"Genesys (2026-03-03), Genesys Cloud (2026-05-26), RingCentral (2025-12-08)",005V5000004XWIAIA4
Admiral Group,admiralgroup.co.uk,Div Financial Services,2026-07-17,,"Amazon Connect (2025-05-03), Genesys Cloud (2026-07-17)",005V5000002ZZTFIA4
Athene,athene.com,Div Financial Services,2026-09-05,,"Genesys (2026-09-05), Genesys Cloud (2026-09-05)",005V5000001gBKBIA2
Chime,chime.com,Div Financial Services,2026-08-23,Calabrio,"Avaya (2020-12-03), Calabrio (2026-07-23), Five9 (2026-01-30), Genesys (2026-08-23), Genesys Cloud (2026-08-23), Genesys Cloud CX (2026-08-15)",005V5000001gAGSIA2
Credit Acceptance,creditacceptance.com,Div Financial Services,2026-09-04,Aspect,"Alvaria (2024-11-20), Five9 (2025-06-12), Genesys (2026-09-04), Genesys Cloud (2026-09-04), Genesys Cloud CX (2026-01-26), NICE inContact (2024-11-14)",005V5000001gAGSIA2
DNB,dnb.no,Div Financial Services,2026-07-27,,"Avaya (2026-07-27), Genesys (2026-07-27), Genesys Cloud (2026-07-27), Genesys Cloud CX (2026-07-27)",005V5000001gBKBIA2
Desjardins Group,desjardins.com,Div Financial Services,2026-07-10,,Genesys (2026-07-10),005V5000004XWIAIA4
Domestic & General,domesticandgeneral.com,Div Financial Services,2026-03-29,,"Genesys (2026-03-29), Genesys Cloud (2026-02-06)",005V5000002ZZTFIA4
Fidelity Investments,fidelity.com,Div Financial Services,2026-02-26,,"Genesys Cloud (2026-02-26), Genesys Cloud CX (2026-02-26)",005V5000001gAGSIA2
Fidelity Investments Canada ULC,fidelity.ca,Div Financial Services,2026-06-01,,"Avaya (2025-06-11), Genesys (2026-06-01), Genesys Cloud (2026-06-01)",005V5000001gAGSIA2
Franklin Templeton Investments,franklintempleton.com,Div Financial Services,2025-12-09,,"Genesys (2025-11-11), Genesys Cloud (2025-12-09)",005V5000001gAGUIA2
General Motors Financial Company,gmfinancial.com,Div Financial Services,2026-07-27,,"Avaya (2026-03-11), Genesys (2026-07-27), Genesys Cloud (2026-07-27)",005V5000001gAGWIA2
Gjensidige,gjensidige.no,Div Financial Services,2025-10-28,Calabrio,"Calabrio (2025-12-04), Genesys (2025-10-28)",005V5000001gBKBIA2
Greensky,greensky.com,Div Financial Services,2025-11-16,,Genesys (2025-11-16),005V5000001gBKBIA2
