record_id,company,domain,industry,employees,account_type,cc_latest,wfm_latest,cc_all,rep_confirmed
919760783,Cambia Health Solutions,cambiahealth.com,Home & Auto Insurance,4500,Prospect,NICE,,NICE inContact (2025-08-11),
919760784,Blue Shield of California (BSCA),blueshieldca.com,Home & Auto Insurance,7800,Prospect,Avaya,Verint,"Avaya (2026-06-07), Avaya Call Management System (2024-08-13), Genesys (2026-03-30), Genesys Cloud (2026-02-28), Genesys Cloud CX (2025-09-19), Verint Workforce Management (2026-01-16)",
919760816,Carefirst,carefirst.com,Home & Auto Insurance,7180,Prospect,NICE,,"Genesys (2025-07-22), Genesys Cloud (2025-07-22), NICE CXone (2025-08-19)",
935164301,IEHP,iehp.org,Health Insurance,3000,Prospect,,Verint,Verint (2023-04-28),
935164302,Point32Health,point32health.org,Health Insurance,1100,Prospect,Avaya,Verint,"Avaya (2024-12-16), Verint Workforce Management (2026-05-27)",
1024661052,NJM Insurance Group,njm.com,Home & Auto Insurance,2530,Prospect,NICE,,"Avaya (2026-07-10), NICE CXone (2026-08-30), RingCentral (2026-06-03)",
1024661072,Spirit Airlines,spirit.com,Travel,12025,Prospect,NICE,Calabrio,"Calabrio (2024-11-22), NICE inContact (2021-07-19)",
1024661075,Sunrun,sunrun.com,Consumer Services,12408,Prospect,Amazon Connect,Calabrio,"Amazon Connect (2026-05-27), Calabrio (2024-11-17), Five9 (2025-01-17), NICE CXone (2025-01-17)",
1024661081,Henry Ford Health System,henryford.com,Healthcare Provider,33000,Prospect,Avaya,,"Avaya (2026-07-10), Genesys (2026-04-09), NICE inContact (2023-09-18)",
1024661094,La Quinta by Wyndham,wyndhamhotels.com,Hospitality,2500,Prospect,Five9,,"Avaya (2026-04-22), Avaya Call Management System (2025-05-15), Five9 (2026-04-22), NICE CXone (2021-11-25)",
1024661107,Holland America Line Inc,hollandamerica.com,Hospitality,16000,Prospect,NICE,Verint,"NICE CXone (2026-07-10), Verint Workforce Management (2022-12-08)",
1024661132,FirstEnergy Corporation,firstenergycorp.com,Utilities,12042,Prospect,NICE,,NICE CXone (2026-07-14),
1024661134,Nelnet,nelnetinc.com,Software,8237,Prospect,NICE,,"Amazon Connect (2022-09-30), Five9 (2022-09-30), NICE CXone (2025-09-24), NICE inContact (2025-09-24)",
1024661143,Coca-Cola (Coke),coca-colacompany.com,Manufacturing,130600,Prospect,NICE,,"Genesys Cloud (2025-08-08), NICE inContact (2026-04-13)",
1024661145,Alorica,alorica.com,Outsourcer,91000,Prospect,Avaya,,"Avaya (2026-07-02), Avaya Call Management System (2021-08-14), Five9 (2026-06-21), NICE CXone (2022-09-21)",
1024661148,Oak Street Health LLC,oakstreethealth.com,Healthcare Provider,5900,Prospect,Five9,,"Five9 (2026-03-29), NICE CXone (2024-11-27), NICE inContact (2025-02-08), RingCentral (2024-11-22)",
1024661150,"Medline Industries, Inc.",medline.com,Manufacturing,36000,Prospect,Genesys,,"Amazon Connect (2025-11-21), Five9 (2026-06-23), Genesys Cloud (2026-07-10), Genesys Cloud CX (2026-07-10), NICE CXone (2026-01-11), NICE inContact (2025-11-21), RingCentral (2026-01-11)",
1024661156,HD Supply,hdsupply.com,Retail,12000,Prospect,Talkdesk,Verint,"Avaya (2022-12-13), Avaya Call Management System (2019-08-03), TalkDesk (2023-01-23), Verint Workforce Management (2019-08-03)",
1024661162,State Employees Credit Union (SECU),ncsecu.org,Banking,7400,Prospect,NICE,,NICE CXone (2024-11-23),
1024661166,BT Business and Public Sector,bt.com,Telco/Cable,97100,Prospect,Genesys,,"Genesys Cloud (2026-07-16), NICE CXone (2025-12-10), NICE inContact (2025-10-06), Webex Contact Center (2024-06-06)",
1024661184,Kaiser Washington,kaiserpermanente.org,Healthcare Provider,225000,Customer,NICE,Aspect,"Alvaria (2024-11-24), NICE CXone (2026-08-18)",
1024661215,USAA,usaa.com,Div Financial Services,37000,Prospect,Amazon Connect,NICE,"Alvaria (2024-11-18), Amazon Connect (2026-04-30), Nice Workforce Management (2024-11-22)",
1024661221,Terminix,terminix.com,Consumer Services,11700,Prospect,Five9,Verint,"Five9 (2022-08-04), Verint Workforce Management (2022-08-04)",
1024661222,"EdFinancial Services, LLC",edfinancial.com,Fin Services,320,Prospect,NICE,,NICE CXone (2024-11-24),
1024661226,Sony Interactive Entertainment America LLC,playstation.com,Manufacturing,6000,Prospect,NICE,,NICE inContact (2024-03-07),
1024661227,Sony Pictures Entertainment Inc,sonypictures.com,Media & Internet,108900,Prospect,NICE,,NICE inContact (2023-09-22),
1024661229,Hudson's Bay Company,hbc.com,Retail,22000,Prospect,NICE,,"Avaya (2021-06-10), NICE inContact (2021-06-10)",
1024661230,Orange Belgium,orange.com,Telco/Cable,50,Prospect,NICE,,NICE CXone (2026-08-20),
1024661249,Acentra Health (formerly KEPRO),kepro.com,Software,1500,Prospect,Avaya,Verint,"Avaya (2023-11-14), Five9 (2021-07-27), Verint Workforce Management (2021-07-23)",
1024661271,CCC Intelligent Solutions,cccis.com,Business Services,2375,Prospect,Amazon Connect,,"Amazon Connect (2026-07-08), NICE CXone (2026-07-08), NICE inContact (2021-09-06)",
1024661274,First American,firstam.com,Div Financial Services,21153,Prospect,Five9,Calabrio,"Calabrio (2025-03-18), Five9 (2026-06-24), NICE inContact (2022-06-15), RingCentral (2026-06-24)",
1024661315,Penske Corporation,penske.com,Retail,70000,Prospect,NICE,,"Avaya (2026-03-18), NICE CXone (2024-10-31), NICE inContact (2026-08-17)",
1024661318,American International Group (AIG),aig.com,Home & Auto Insurance,26200,Prospect,Genesys,Verint,"Avaya (2025-06-08), Genesys Cloud (2026-08-20), Verint (2022-12-09)",
1024661320,Quest Diagnostics,questdiagnostics.com,Healthcare Provider,50000,Prospect,Five9,Verint,"Avaya Call Management System (2021-08-16), Five9 (2026-08-08), NICE inContact (2023-07-19), Verint Workforce Management (2026-06-23)",
1024661322,Aetna Life Insurance Company Inc,aon.com,Insurance,50000,Prospect,RingCentral,,"Genesys (2026-08-24), Genesys Cloud (2026-08-24), NICE CXone (2025-02-05), RingCentral (2026-08-27)",
1024661336,Beachbody,beachbody.com,Hospitality,4491,Prospect,NICE,,NICE inContact (2021-09-07),
1024661342,New York Life Insurance Company,newyorklife.com,Div Financial Services,15050,Prospect,Avaya,Verint,"Avaya (2023-05-02), Verint Workforce Management (2022-03-01)",
1024661343,Chubb (UK),chubb.com,Home & Auto Insurance,40000,Prospect,NICE,,NICE CXone (2026-08-26),
1024661358,Telus Corporation,telus.com,Telco/Cable,108500,Prospect,Amazon Connect,Verint,"Amazon Connect (2026-08-20), Five9 (2025-11-13), NICE CXone (2025-09-27), RingCentral (2025-10-15), Verint Workforce Management (2025-08-13)",
1024661359,Optum,optum.com,Healthcare Insurance,17000,Customer,NICE,Calabrio,"Calabrio (2026-07-26), NICE CXone (2026-08-23)",
1024661372,Foundever (Sitel),foundever.com,Outsourcer,718,Customer,Genesys,Calabrio,"Amazon Connect (2026-08-22), Avaya Call Management System (2026-08-15), Calabrio (2026-07-23), Genesys (2026-05-04), Genesys Cloud (2026-08-22), NICE CXone (2026-08-22)",
1024661373,Express Scripts,express-scripts.com,Healthcare Insurance,25900,Prospect,Genesys,Verint,"Genesys Cloud CX (2022-07-18), Verint Workforce Management (2023-08-24)",
1024661378,Carnival Cruise Line,carnival.com,Hospitality,87000,Prospect,Avaya,Aspect,"Alvaria (2025-06-10), Avaya (2025-01-12), Avaya Call Management System (2023-06-21), Five9 (2024-09-28), Verint (2023-06-13)",
1024661379,AAA Texas,aaa.com,Home & Auto Insurance,3500,Prospect,,NICE,Nice Workforce Management (2018-04-24),
1024661383,Duke Energy,duke-energy.com,Utilities,27859,Prospect,Avaya,Verint,"Avaya (2025-09-16), Genesys (2025-05-18), Genesys Cloud (2024-02-29), Verint Workforce Management (2023-10-21)",
1024661385,The Hartford Financial Services Group,thehartford.com,Div Financial Services,18800,Prospect,Genesys,NICE,"Amazon Connect (2026-08-21), Five9 (2026-08-21), Genesys Cloud (2026-08-28), NICE CXone (2025-09-15), Nice Workforce Management (2024-11-16)",
1024661388,Allstate Corporation,allstate.com,Home & Auto Insurance,54000,Prospect,Amazon Connect,,"Amazon Connect (2026-06-18), Five9 (2026-06-14), Genesys Cloud (2025-04-03), NICE CXone (2026-06-14)",
1024661390,Massachusetts Mutual Life Insurance Company (MassMutual),massmutual.com,Div Financial Services,6000,Prospect,Talkdesk,,"Avaya (2022-11-03), NICE inContact (2022-11-03), TalkDesk (2023-02-06)",
