company,domain,industry,employees,cc_platform,cc_last_seen,wfm_platform,all_platforms
Athene,athene.com,Div Financial Services,1718,Genesys,2026-09-05,,"Genesys (2026-09-05), Genesys Cloud (2026-09-05)"
Nationwide Mutual Insurance Company,nationwide.com,Div Financial Services,24791,Genesys,2026-09-04,,"Avaya (2023-03-09), Genesys (2026-09-04), Genesys Cloud (2026-09-04), Genesys Cloud CX (2026-01-02)"
Skipton Building Society,skipton.co.uk,Div Financial Services,2500,Genesys,2026-09-04,,"Genesys (2026-09-04), Genesys Cloud (2023-08-28)"
Credit Acceptance,creditacceptance.com,Div Financial Services,2246,Genesys,2026-09-04,Aspect,"Alvaria (2024-11-20), Five9 (2025-06-12), Genesys (2026-09-04), Genesys Cloud (2026-09-04), Genesys Cloud CX (2026-01-26), NICE inContact (2024-11-14)"
Rollins,rollins.com,Other,13000,Five9,2026-09-04,,"Amazon Connect (2026-09-04), Avaya (2026-09-04), Five9 (2026-09-04), Genesys (2026-09-04), Genesys Cloud (2026-09-04), NICE CXone (2026-09-04)"
FirstSource,firstsource.com,Business Services,22824,Amazon Connect,2026-09-04,Calabrio,"Amazon Connect (2026-09-04), Calabrio (2026-01-29), Five9 (2026-04-14), NICE inContact (2025-06-04)"
Pitney Bowes,pitneybowes.com,Custom Software & IT Services,11500,Genesys,2026-09-04,,"Avaya (2023-10-21), Genesys (2026-09-04), Genesys Cloud (2025-09-01), RingCentral (2026-05-27)"
Equitable Holdings,equitableholdings.com,,8500,RingCentral,2026-09-04,,RingCentral (2026-09-04)
AT&T Entertainment Group,att.com,Telco_Cable,246740,Genesys,2026-09-03,Calabrio,"Calabrio One (2025-08-05), Genesys (2026-09-03), RingCentral (2026-03-30)"
OGE Energy Corp.,oge.com,Utilities,3300,Genesys,2026-09-03,,"Genesys (2026-09-03), Genesys Cloud (2022-09-06)"
Aetna Medicaid,aetna.com,Health Insurance,30000,Genesys,2026-09-03,,Genesys (2026-09-03)
AT&T Services - Backoffice,att.com,Telco_Cable,0,Genesys,2026-09-03,Calabrio,"Calabrio One (2025-08-05), Genesys (2026-09-03), RingCentral (2026-03-30)"
Premera Blue Cross Washington (BCBS WA),premera.com,Health Insurance,3250,Genesys,2026-09-03,,"Avaya (2022-07-28), Genesys Cloud (2026-09-03), Genesys Cloud CX (2026-09-03)"
Aetna Claims,aetna.com,Insurance,10000,Genesys,2026-09-03,,Genesys (2026-09-03)
Aetna Clinical,aetna.com,Insurance,10000,Genesys,2026-09-03,,Genesys (2026-09-03)
AT&T U-Verse,att.com,Telco_Cable,100000,Genesys,2026-09-03,Calabrio,"Calabrio One (2025-08-05), Genesys (2026-09-03), RingCentral (2026-03-30)"
ResMed,resmed.com,Manufacturing,10140,NICE,2026-09-03,Verint,"Five9 (2026-04-29), NICE inContact (2026-09-03), TalkDesk (2023-04-17), Verint Workforce Management (2026-04-29)"
Cardinal Health,cardinalhealth.com,Manufacturing,47040,Genesys,2026-09-03,,"Amazon Connect (2025-05-13), Avaya Call Management System (2025-11-11), Five9 (2025-03-13), Genesys (2026-09-03), Genesys Cloud (2026-09-03)"
Duluth Trading Co.,duluthtrading.com,Retail,964,Genesys,2026-09-03,Calabrio,"Calabrio (2026-06-03), Genesys (2026-09-03)"
Ticketmaster,ticketmaster.com,Media & Internet,6825,Five9,2026-09-03,,Five9 (2026-09-03)
"Interstate Gas Supply, Inc",igs.com,Utilities,2710,Genesys,2026-09-03,,Genesys (2026-09-03)
RingCentral Inc,ringcentral.com,Software,3902,Talkdesk,2026-09-03,Calabrio,"Alvaria (2023-02-15), Amazon Connect (2026-01-21), Calabrio (2026-09-03), Genesys Cloud (2026-08-22), TalkDesk (2026-09-03)"
Scansource,scansource.com,Technology,1400,Avaya,2026-09-03,,"Avaya (2026-09-03), Five9 (2026-06-12), NICE CXone (2026-02-05), TalkDesk (2026-06-12)"
Ameriprise Financial,ameriprise.com,Fin Services,13000,Cisco,2026-09-02,Aspect,"Alvaria (2024-11-22), RingCentral (2023-05-06), Webex Contact Center (2026-09-02)"
Generac,generac.com,Manufacturing,9160,Avaya,2026-09-02,,"Amazon Connect (2026-07-19), Avaya (2026-09-02), Genesys (2026-03-10), Genesys Cloud (2025-10-12), RingCentral (2026-05-15)"
Aaron's,aarons.com,Retail,10060,Genesys,2026-09-02,,"Genesys (2026-09-02), Genesys Cloud (2025-05-16)"
Computacenter plc,computacenter.com,Business Services,20097,Genesys,2026-09-02,,"Five9 (2022-10-20), Genesys Cloud (2026-09-02), Genesys Cloud CX (2026-08-17)"
